71779,Not applicable,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Audiobook', 'Space']",Not applicable,xenocide,"In Lusitania, Ender found a world where humans and pequininos and the Hive Queen could all live together; where three very different intelligent species could find common ground at last. But Lusitania also harbors the descolada, a virus that kills all humans it infects, but which the pequininos require in order to become adults. The Startways Congress so fears the effects of the descolada, should it escape from Lusitania, that they have ordered the destruction of the entire planet, and all who live there. The Fleet is on its way and a second xenocide seems inevitable. Until the fleet vanishes.The task of discovering how the ships disappeared falls to Gloriously Bright, the most brilliant analytical mind in a world of people bred for superintelligence. There is little doubt that she can solve the puzzle; but will she choose life or death for the three races who live on Lusitania?  Xenocide is the third novel in Orson Scott Card's Ender Quintet.",orson scott card,"Orson Scott Card is an American writer known best for his science fiction works. He is (as of 2023) the only person to have won a Hugo Award and a Nebula Award in consecutive years, winning both awards for his novel Ender's Game (1985) and its sequel Speaker for the Dead (1986). A feature film adaptation of Ender's Game, which Card co-produced, was released in 2013. Card also wrote the Locus Fantasy Award-winning series The Tales of Alvin Maker (1987–2003).Card's fiction often features characters with exceptional gifts who make difficult choices with high stakes. Card has also written political, religious, and social commentary in his columns and other writing; his opposition to homosexuality has provoked public criticism.Card, who is a great-great-grandson of  Brigham Young, was born in Richland, Washington, and grew up in Utah and California. While he was a student at Brigham Young University (BYU), his plays were performed on stage. He served in Brazil as a missionary for the Church of Jesus Christ of Latter-day Saints (LDS Church) and headed a community theater for two summers. Card had 27 short stories published between 1978 and 1979, and he won the John W. Campbell Award for best new writer in 1978. He earned a master's degree in English from the University of Utah in 1981 and wrote novels in science fiction, fantasy, non-fiction, and historical fiction genres starting in 1979. Card continued to write prolifically, and he has published over 50 novels and 45 short stories.Card teaches English at Southern Virginia University; he has written two books on creative writing and serves as a judge in the Writers of the Future contest. He has taught many successful writers at his ""literary boot camps"". He remains a practicing member of the LDS Church and Mormon fiction writers  Stephenie Meyer,  Brandon Sanderson, and  Dave Wolverton have cited his works as a major influence.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1294099952i%2F589._UX200_CR0%2C39%2C200%2C200_.jpg&w=256&q=75,18,3.82,162903,4681,,Missing,https://www.goodreads.com/book/show/899044.Xenocide,"['44,206 (27%)', '60,896 (37%)', '44,292 (27%)', '10,903 (6%)', '2,606 (1%)']",43246,3509,,
71780,Not applicable,"['Science Fiction', '40k', 'Fiction', 'Fantasy', 'Audiobook', 'Space Opera', 'Horror']",Not applicable,xenos,"Part one of the epic Eisenhorn trilogy returnsThe Inquisition moves amongst mankind like an avenging shadow, striking down the enemies of humanity with uncompromising ruthlessness. When he finally corners an old foe, Inquisitor Gregor Eisenhorn is drawn into a sinister conspiracy. As events unfold and he gathers allies – and enemies – Eisenhorn faces a vast interstellar cabal and the dark power of daemons, all racing to recover an arcane text of abominable an ancient tome known as the Necroteuch.",dan abnett,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1287652166i%2F33262._UX200_CR0%2C49%2C200%2C200_.jpg&w=256&q=75,314,4.14,12499,891,,Missing,https://www.goodreads.com/book/show/2444349.Xenos,"['4,727 (37%)', '5,287 (42%)', '2,096 (16%)', '323 (2%)', '66 (<1%)']",5629,981,,
71781,Not applicable,"['History', 'Classics', 'Nonfiction', 'Ancient History', 'Epic']",Not applicable,xerxes invades greece,"This work talks about a king who would be worshipped as a god. When Xerxes, King of Persia, crosses the Hellespont at the head of a formidable army, it seems inevitable that Greece will be crushed beneath its might. But, the Greeks are far harder to defeat than he could ever have imagined. As storms lash the Persian ships, and sinister omens predict a cruel fate for the expedition, Xerxes strives onward, certain his enemies will accept him as their king. But as he soon discovers, the Greeks will sacrifice anything, even their lives, to keep their liberty.",herodotus,"Herodotus (Greek:  Ηρόδοτος) (c. 484 – c. 425 BC) was a Greek historian and geographer from the Greek city of Halicarnassus, part of the Persian Empire (now Bodrum, Turkey) and a later citizen of Thurii in modern Calabria, Italy. He is known for having written the Histories – a detailed account of the Greco-Persian Wars. Herodotus was the first writer to perform systematic investigation of historical events. He has been described as ""The Father of History"", a title conferred on him by the ancient Roman orator  Marcus Tullius Cicero.The Histories primarily cover the lives of prominent kings and famous battles such as Marathon, Thermopylae, Artemisium, Salamis, Plataea, and Mycale. His work deviates from the main topics to provide a cultural, ethnographical, geographical, and historiographical background that forms an essential part of the narrative and provides readers with a wellspring of additional information.Herodotus has been criticized for his inclusion of ""legends and fanciful accounts"" in his work. The contemporaneous historian  Thucydides accused him of making up stories for entertainment. However, Herodotus explained that he reported what he could see and was told. A sizable portion of the Histories has since been confirmed by modern historians and archaeologists.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1507925438i%2F901._UX200_CR0%2C20%2C200%2C200_.jpg&w=256&q=75,113,3.62,146,19,,Missing,https://www.goodreads.com/book/show/228527.Xerxes_Invades_Greece,"['38 (26%)', '44 (30%)', '43 (29%)', '13 (8%)', '8 (5%)']",417,8,,
71782,Not applicable,"['Nonfiction', 'History', 'Science', 'Space', 'Audiobook', 'American History', 'Astronomy']",Not applicable,xiii,"On April 13, 1970, some 205,000 miles from Earth, an explosion rocked the moon-bound Apollo 13, taking our both engines of the command module and crippling the life-support system. Guided by the ground crew in Huston, the crew took refuge in the lunar module and used its engines, almost in the fashion of an outboard motor, to maneuver the craft around the moon and back toward Earth. With temperatures in the module below freezing, water in short supply, and one crew member seriously ill, the astronauts and the ground crew struggles to manuipulate machines into doing things they were never meant to do. Long unavailable, The Apollo Flight That Failed ia a riveting, minute by minute acount of the only madded NASA mission to have malfunctioned outside Earth's orbit. Henry Cooper takes readers behind the scenes in this story of unprecedented crisis that severely tested NASA's button-down ethic of the time-forcing technological improvisation on an organization built on caution and procedure.",henry s.f. cooper jr.,"Henry Spotswood Fenimore (S. F.) Cooper Jr. is the author of eight books about NASA and space exploration, and was a longtime staff writer for the New Yorker. He lived in Cooperstown, New York.He was a descendent of James Fenimore Cooper. ",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1389288328i%2F658711._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,208,4.09,1059,109,,Missing,https://www.goodreads.com/book/show/1391538.XIII,"['389 (36%)', '435 (41%)', '187 (17%)', '38 (3%)', '10 (<1%)']",782,242,,
71783,Not applicable,"['Humor', 'Graphic Novels', 'Science', 'Nonfiction', 'Comics', 'Comedy', 'Webcomic']",Not applicable,xkcd,"Randall Munroe describes xkcd as a webcomic of romance, sarcasm, math, and language. While it's practically required reading in the geek community, xkcd fans are as varied as the comic's subject matter. This book creates laughs from science jokes on one page to relationship humor on another.xkcd: volume 0 is the first book from the immensely popular webcomic with a passionate readership (just Google ""xkcd meetup"").The artist selected personal and fan favorites from his first 600 comics. It was lovingly assembled from high-resolution original scans of the comics (the mouseover text is discreetly included), and features a lot of doodles, notes, and puzzles in the margins.The book is published by Breadpig, which donates all of the publisher profits from this book to Room to Read for promoting literacy in the developing world.",randall munroe,"Randall Munroe, a former NASA roboticist, is the creator of the webcomic xkcd and the author of xkcd: volume 0. The International Astronomical Union recently named an asteroid after him; asteroid 4942 Munroe is big enough to cause a mass extinction if it ever hits a planet like Earth. He lives in Cambridge, Massachusetts. ",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1406058780i%2F3089156._UX200_CR0%2C28%2C200%2C200_.jpg&w=256&q=75,120,4.32,7169,318,,Missing,https://www.goodreads.com/book/show/6902644-xkcd,"['3,863 (53%)', '2,119 (29%)', '920 (12%)', '184 (2%)', '83 (1%)']",7595,71,,
71784,Not applicable,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook']",Not applicable,xo,"Kayleigh Towne is a beautiful and successful singer-songwriter, and Edwin Sharp is her biggest fan. When she replies to one of his fan letters with 'XO', Edwin is convinced she loves him, and that her latest hit song 'Your Shadow' was written for him. Nothing Kayleigh or her lawyers can say persuades him otherwise. Then the singer gets an anonymous phone call; it's the first verse of 'Your Shadow' playing. Soon after, one of the crew is horribly murdered. Kayleigh's friend Kathryn Dance, a special agent with the California Bureau of Investigation, knows that stalking crimes are not one-off occurrences, and, sure enough, more verses of the song are played as warnings of death to follow. With a little help from forensic criminalist Lincolyn Rhyme, Dance must use her kinesic and investigative skills in an attempt to find the killer before more people die. Deaver has written the actual song, 'Your Shadow'. Readers are able to download it from www.jefferydeaver.com.",jeffery deaver,"#1 international bestselling author of over thirty novels and three collections of short stories. His books are sold in 150 countries and translated into 25 languages. His first novel featuring Lincoln Rhyme, The Bone Collector, was made into a major motion picture starring Denzel Washington and Angelina Jolie. He's received or been shortlisted for a number of awards around the world.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1305944481i%2F1612._UX200_CR0%2C49%2C200%2C200_.jpg&w=256&q=75,500,3.79,10967,1052,,Missing,https://www.goodreads.com/book/show/18221054-xo,"['2,733 (24%)', '4,229 (38%)', '3,121 (28%)', '715 (6%)', '169 (1%)']",4836,840,,
71785,Not applicable,"['Horror', 'Zombies', 'Fiction', 'Science Fiction', 'Post Apocalyptic', 'Fantasy', 'Apocalyptic']",Not applicable,xombies,"When the Agent X plague struck, it infected women first, turning them into mindless killers intent only on creating an army of ""Xombies"" by spreading their disease.  Running for her life, seventeen-year-old Lulu is rescued by the father she has never known and taken aboard a refitted nuclear submarine that has one mission: to save a little bit of humanity. ",walter greatshell,"Walter Greatshell here. I am the author of XOMBIES (Berkley, 2004), which was re-released as XOMBIES: APOCALYPSE BLUES (2009), and followed by the sequels XOMBIES: APOCALYPTICON (2010), and XOMBIES: APOCALYPSO (2011). I am also author of the novels MAD SKILLS, ENORMITY (published under the pen name W.G. Marshall), and TERMINAL ISLAND. My short stories have appeared in the anthologies THE LIVING DEAD 2, TALES OF JACK THE RIPPER, and CTHULHU FHTAGN! My most recent works are the essay collection SPECIAL FEATURES: SHORT TAKES ON POP CULTURE FROM ANDROIDS TO ZOMBIES and the WWII saga SAFARI MINE: AN AFRICAN ODYSSEY 1928-1937.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1238516567i%2F114670._UY200_CR33%2C0%2C200%2C200_.jpg&w=256&q=75,336,3.45,1517,114,,Missing,https://www.goodreads.com/book/show/6633020-xombies,"['409 (26%)', '363 (23%)', '396 (26%)', '203 (13%)', '146 (9%)']",1319,14,,
71786,Not applicable,"['Young Adult', 'Dystopia', 'Science Fiction', 'Romance', 'Fiction', 'Teen', 'Fantasy']",Not applicable,xvi,"Nina Oberon's life is pretty normal: she hangs out with her best friend, Sandy, and their crew, goes to school, plays with her little sister, Dee. But Nina is 15. And like all girls she'll receive a Governing Council ordered tattoo on her 16th birthday. XVI. Those three letters will be branded on her wrist, announcing to all the world, even the most predatory of men that she is ready for sex. Considered easy prey by some, portrayed by the Media as sluts who ask for attacks, becoming a ""sex-teen"" is Nina's worst fear. That is, until right before her birthday, when Nina's mom is brutally attacked. With her dying breaths, she reveals to Nina a shocking truth about her past, one that destroys everything Nina thought she knew. Now, alone but for her sister, Nina must try to discover who she really is, all the while staying one step ahead of her mother's killer.",julia karr,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1261887129i%2F3100203.jpg&w=256&q=75,339,3.45,7706,1008,,Missing,https://www.goodreads.com/book/show/9716584-xvi,"['1,728 (22%)', '2,191 (28%)', '2,190 (28%)', '1,049 (13%)', '548 (7%)']",17801,101,,
71787,Not applicable,['Romance'],Not applicable,xxl-leseprobe,"Vorableseprobe zum neuen Roman aus der After-Reihe von Anna Todd, der am 12. September 2016 erscheintWhen he falls in love, he loves too hardNew York ist anders als alles, was Landon bisher kannte. Aber er hat einen netten Job, liebt die Uni und kann seiner Exfreundin Dakota zum Glück aus dem Weg gehen. Sein winziges Apartment in Brooklyn teilt er sich mit seiner besten Freundin Tessa. Sie kennt sich mit Liebeskummer aus.Als Landon sich plötzlich zwischen zwei schönen Frauen wiederfindet, ist es das totale Chaos. Extrem aufregend. Fast wie eine Sucht. Es wird sich schon irgendwie regeln, aber der Weg dahin ist vermutlich ... ziemlich crazy.",anna todd,"ANNA TODD (writer/producer/influencer) is the New York Times best-selling author of the After series, the Brightest Stars trilogy, The Spring Girls, and the After Graphic novels. The After series has been released in 35 languages and has sold over twelve million copies worldwide—becoming a #1 best-seller in several countries. Always an avid reader, Todd began writing stories on her phone through Wattpad, with After becoming the platform’s most-read series with over two billion reads. She has served as a producer and screenwriter on the film adaptations of After and After We Collided, and in 2017, she founded the entertainment company Frayed Pages Media to produce innovative and creative work across film, television, and publishing. A native of Ohio, she lives with her family in Los Angeles.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1710520856i%2F3927354._UX200_CR0%2C0%2C200%2C200_.jpg&w=256&q=75,22,3.75,154,2,,Missing,https://www.goodreads.com/book/show/31911964-xxl-leseprobe,"['49 (31%)', '43 (27%)', '41 (26%)', '16 (10%)', '5 (3%)']",5,-1,,
71788,Not applicable,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Book Club', 'Suspense', 'Audiobook']",Not applicable,xxl-leseprobe,"Die XXL-Leseprobe zu Shari Lapenas ""The Couple Next Door"":  Jedes Paar hat seine Geheimnisse. Manche sind tödlich ...  Deine Nachbarin möchte nicht, dass du dein Baby zur Dinnerparty mitbringst. Dein Ehemann sagt, das sei schon in Ordnung. Ihr wohnt ja gleich nebenan. Außerdem habt ihr ein Babyfon und könnt abwechselnd nach der Kleinen sehen. Deine Tochter schläft, als du das letzte Mal nach ihr siehst. Doch jetzt herrscht Totenstille im Haus. Du rennst ins Kinderzimmer - und dein schlimmster Alptraum wird wahr: Die Wiege ist leer.  Es bleibt nur eins: die Polizei zu rufen - doch wer weiß, was sie finden wird ...",shari lapena,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1464612471i%2F1278320._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,66,3.8,673298,44064,,Missing,https://www.goodreads.com/book/show/34100136-xxl-leseprobe,"['175,599 (26%)', '258,271 (38%)', '182,753 (27%)', '44,961 (6%)', '11,714 (1%)']",427313,24376,,
71789,Not applicable,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Supernatural', 'Fiction', 'Seinen']",Not applicable,"xxxholic, vol. 1","Watanuki Kimihiro is haunted by visions of ghosts and spirits. Seemingly by chance, he encounters a mysterious witch named Yuuko, who claims she can help. In desperation, he accepts, but realizes that he's just been tricked into working for Yuuko in order to pay off the cost of her services. Soon he's employed in her little shop--a job which turns out to be nothing like his previous work experience Most of Yuuko's customers live in Japan, but Yuko and Watanuki are about to have some unusual visitors named Sakura and Syaoran from a land called Clow. . . . XXXHolic volume one ""crosses over with ""Tsubasa volume one ""Don't miss it ""Includes special extras after the story Includes chapters 1-8",clamp,"Ōkawa Nanase 大川七瀬[born: 2 May 1967; Ōsaka, bloodtype: A]Mokona Apapa もこなあぱぱ[born: 16 Jun 1968, Kyōto; bloodtype: A] Nekoi Mick 猫井みっく[born: 21 Jan 1969, Kyōto; bloodtype: O] Igarashi Satsuki 五十嵐さつき[born: 8 Feb 1969, Kyōto; bloodtype: A] CLAMP originally began in 1989 as a twelve-member dōjinshi circle, but by 1990, the circle had diminished from twelve to seven. Of the remaining seven, Tamayo Akiyama, Sei Nanao, and Leeza Sei left the group during the production of the RG Veda manga. Other former members of CLAMP also included Soushi Hishika, O-Kyon, Kazue Nakamori, Yuzuru Inoue and Shinya Ōmi. Currently, there are four members in the group.In 2004, CLAMP's 15th anniversary as a mangaka group, the members changed their names from Nanase Ohkawa, Mokona Apapa, Mick Nekoi, and Satsuki Igarashi to Ageha Ohkawa, Mokona, Tsubaki Nekoi and Satsuki Igarashi (her name is pronounced the same, but written with different characters) respectively. The August 2004 issue of Newtype USA, a magazine specializing in events of the anime and manga subcultures, reported that the members of CLAMP simply wanted to try out new names. In a later interview with Ohkawa, it was revealed that initially Mokona wanted to drop her surname because it sounded too immature for her liking, while Nekoi disliked people commenting that her name was the same as Mick Jagger's. Ohkawa and Igarashi, wanting to go with the flow of Nekoi's and Mokona's name changes, changed their names as well.In 2006, they made their first USA public debut at Anime Expo in Anaheim, California. They were well received at the convention, with 6,000 fans in attendance at their panel.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1626198927i%2F8476._UY200_CR49%2C0%2C200%2C200_.jpg&w=256&q=75,178,4.17,29488,475,,Missing,https://www.goodreads.com/book/show/9684062-xxxholic-vol-1,"['14,844 (50%)', '7,821 (26%)', '4,586 (15%)', '1,425 (4%)', '812 (2%)']",16608,117,,
71790,Not applicable,"['Manga', 'Fantasy', 'Graphic Novels', 'Seinen', 'Supernatural', 'Comics', 'Fiction']",Not applicable,"xxxholic, vol. 10","Months ago, when Kimihiro Watanuki became the indentured servant of the witch Yûko Ichihara, Yûko warned Kimihiro about his attraction to cute young Himawari-chan. But he refused to listen. How could his pretty classmate possibly pose any kind of danger to him? At last the secret is revealed . . . and with near-fatal results.Includes chapters 59-64",clamp,"Ōkawa Nanase 大川七瀬[born: 2 May 1967; Ōsaka, bloodtype: A]Mokona Apapa もこなあぱぱ[born: 16 Jun 1968, Kyōto; bloodtype: A] Nekoi Mick 猫井みっく[born: 21 Jan 1969, Kyōto; bloodtype: O] Igarashi Satsuki 五十嵐さつき[born: 8 Feb 1969, Kyōto; bloodtype: A] CLAMP originally began in 1989 as a twelve-member dōjinshi circle, but by 1990, the circle had diminished from twelve to seven. Of the remaining seven, Tamayo Akiyama, Sei Nanao, and Leeza Sei left the group during the production of the RG Veda manga. Other former members of CLAMP also included Soushi Hishika, O-Kyon, Kazue Nakamori, Yuzuru Inoue and Shinya Ōmi. Currently, there are four members in the group.In 2004, CLAMP's 15th anniversary as a mangaka group, the members changed their names from Nanase Ohkawa, Mokona Apapa, Mick Nekoi, and Satsuki Igarashi to Ageha Ohkawa, Mokona, Tsubaki Nekoi and Satsuki Igarashi (her name is pronounced the same, but written with different characters) respectively. The August 2004 issue of Newtype USA, a magazine specializing in events of the anime and manga subcultures, reported that the members of CLAMP simply wanted to try out new names. In a later interview with Ohkawa, it was revealed that initially Mokona wanted to drop her surname because it sounded too immature for her liking, while Nekoi disliked people commenting that her name was the same as Mick Jagger's. Ohkawa and Igarashi, wanting to go with the flow of Nekoi's and Mokona's name changes, changed their names as well.In 2006, they made their first USA public debut at Anime Expo in Anaheim, California. They were well received at the convention, with 6,000 fans in attendance at their panel.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1626198927i%2F8476._UY200_CR49%2C0%2C200%2C200_.jpg&w=256&q=75,192,4.4,2433,66,,Missing,https://www.goodreads.com/book/show/228071.xxxHolic_Vol_10,"['1,357 (55%)', '756 (31%)', '270 (11%)', '39 (1%)', '11 (<1%)']",525,4,,
71791,Not applicable,"['Fantasy', 'Graphic Novels', 'Seinen', 'Supernatural', 'Comics', 'Fiction', 'Manga']",Not applicable,"xxxholic, vol. 11","Kimihiro Watanuki has been saved from death by the sacrifices of his friends, but his recovery time is cut short. His special connection with the spirit world is needed to investigate a terrifying haunted house, placate annoyed Warashi spirits, and face the growing threat of a shadowy figure called Fei-Wang Reed.Includes chapters 65-72",clamp,"Ōkawa Nanase 大川七瀬[born: 2 May 1967; Ōsaka, bloodtype: A]Mokona Apapa もこなあぱぱ[born: 16 Jun 1968, Kyōto; bloodtype: A] Nekoi Mick 猫井みっく[born: 21 Jan 1969, Kyōto; bloodtype: O] Igarashi Satsuki 五十嵐さつき[born: 8 Feb 1969, Kyōto; bloodtype: A] CLAMP originally began in 1989 as a twelve-member dōjinshi circle, but by 1990, the circle had diminished from twelve to seven. Of the remaining seven, Tamayo Akiyama, Sei Nanao, and Leeza Sei left the group during the production of the RG Veda manga. Other former members of CLAMP also included Soushi Hishika, O-Kyon, Kazue Nakamori, Yuzuru Inoue and Shinya Ōmi. Currently, there are four members in the group.In 2004, CLAMP's 15th anniversary as a mangaka group, the members changed their names from Nanase Ohkawa, Mokona Apapa, Mick Nekoi, and Satsuki Igarashi to Ageha Ohkawa, Mokona, Tsubaki Nekoi and Satsuki Igarashi (her name is pronounced the same, but written with different characters) respectively. The August 2004 issue of Newtype USA, a magazine specializing in events of the anime and manga subcultures, reported that the members of CLAMP simply wanted to try out new names. In a later interview with Ohkawa, it was revealed that initially Mokona wanted to drop her surname because it sounded too immature for her liking, while Nekoi disliked people commenting that her name was the same as Mick Jagger's. Ohkawa and Igarashi, wanting to go with the flow of Nekoi's and Mokona's name changes, changed their names as well.In 2006, they made their first USA public debut at Anime Expo in Anaheim, California. They were well received at the convention, with 6,000 fans in attendance at their panel.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1626198927i%2F8476._UY200_CR49%2C0%2C200%2C200_.jpg&w=256&q=75,192,4.38,2219,65,,Missing,https://www.goodreads.com/book/show/1188297.xxxHolic_Vol_11,"['1,192 (53%)', '725 (32%)', '261 (11%)', '34 (1%)', '7 (<1%)']",487,7,,
71792,Not applicable,"['Manga', 'Fantasy', 'Graphic Novels', 'Seinen', 'Supernatural', 'Comics', 'Fiction']",Not applicable,"xxxholic, vol. 12","Lately Kimihiro Watanuki’s dreams have been pleasant escapes that have given him the chance to talk to his new friend Haruki Dômeki. But now he’s falling asleep a lot–and starting to think that his entire life with the witch Yûko might be taking place in some kind of dreamworld. Then one night his dream is visited by a pretty princess named Sakura. . . .xxxHOLiC crosses over with Tsubasa, also by CLAMP. Don’t miss it!Available on DVD from FUNimation EntertainmentIncludes chapters 73-79",clamp,"Ōkawa Nanase 大川七瀬[born: 2 May 1967; Ōsaka, bloodtype: A]Mokona Apapa もこなあぱぱ[born: 16 Jun 1968, Kyōto; bloodtype: A] Nekoi Mick 猫井みっく[born: 21 Jan 1969, Kyōto; bloodtype: O] Igarashi Satsuki 五十嵐さつき[born: 8 Feb 1969, Kyōto; bloodtype: A] CLAMP originally began in 1989 as a twelve-member dōjinshi circle, but by 1990, the circle had diminished from twelve to seven. Of the remaining seven, Tamayo Akiyama, Sei Nanao, and Leeza Sei left the group during the production of the RG Veda manga. Other former members of CLAMP also included Soushi Hishika, O-Kyon, Kazue Nakamori, Yuzuru Inoue and Shinya Ōmi. Currently, there are four members in the group.In 2004, CLAMP's 15th anniversary as a mangaka group, the members changed their names from Nanase Ohkawa, Mokona Apapa, Mick Nekoi, and Satsuki Igarashi to Ageha Ohkawa, Mokona, Tsubaki Nekoi and Satsuki Igarashi (her name is pronounced the same, but written with different characters) respectively. The August 2004 issue of Newtype USA, a magazine specializing in events of the anime and manga subcultures, reported that the members of CLAMP simply wanted to try out new names. In a later interview with Ohkawa, it was revealed that initially Mokona wanted to drop her surname because it sounded too immature for her liking, while Nekoi disliked people commenting that her name was the same as Mick Jagger's. Ohkawa and Igarashi, wanting to go with the flow of Nekoi's and Mokona's name changes, changed their names as well.In 2006, they made their first USA public debut at Anime Expo in Anaheim, California. They were well received at the convention, with 6,000 fans in attendance at their panel.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1626198927i%2F8476._UY200_CR49%2C0%2C200%2C200_.jpg&w=256&q=75,192,4.41,2190,58,,Missing,https://www.goodreads.com/book/show/2348265.xxxHolic_Vol_12,"['1,227 (56%)', '684 (31%)', '241 (11%)', '30 (1%)', '8 (<1%)']",492,-1,,
71793,Not applicable,"['Fantasy', 'Graphic Novels', 'Seinen', 'Supernatural', 'Comics', 'Manga', 'Mystery']",Not applicable,"xxxholic, vol. 13","The medium Kohane-chan has been punched and bruised on national TV, but still her controlling mother is forcing her to go on the air. Now Kimihiro steps between the rebellious young psychic and her raging mother, only to take the beating himself. See the dramatic conclusion of Kohane-chan’s story!Includes chapters 80-84",clamp,"Ōkawa Nanase 大川七瀬[born: 2 May 1967; Ōsaka, bloodtype: A]Mokona Apapa もこなあぱぱ[born: 16 Jun 1968, Kyōto; bloodtype: A] Nekoi Mick 猫井みっく[born: 21 Jan 1969, Kyōto; bloodtype: O] Igarashi Satsuki 五十嵐さつき[born: 8 Feb 1969, Kyōto; bloodtype: A] CLAMP originally began in 1989 as a twelve-member dōjinshi circle, but by 1990, the circle had diminished from twelve to seven. Of the remaining seven, Tamayo Akiyama, Sei Nanao, and Leeza Sei left the group during the production of the RG Veda manga. Other former members of CLAMP also included Soushi Hishika, O-Kyon, Kazue Nakamori, Yuzuru Inoue and Shinya Ōmi. Currently, there are four members in the group.In 2004, CLAMP's 15th anniversary as a mangaka group, the members changed their names from Nanase Ohkawa, Mokona Apapa, Mick Nekoi, and Satsuki Igarashi to Ageha Ohkawa, Mokona, Tsubaki Nekoi and Satsuki Igarashi (her name is pronounced the same, but written with different characters) respectively. The August 2004 issue of Newtype USA, a magazine specializing in events of the anime and manga subcultures, reported that the members of CLAMP simply wanted to try out new names. In a later interview with Ohkawa, it was revealed that initially Mokona wanted to drop her surname because it sounded too immature for her liking, while Nekoi disliked people commenting that her name was the same as Mick Jagger's. Ohkawa and Igarashi, wanting to go with the flow of Nekoi's and Mokona's name changes, changed their names as well.In 2006, they made their first USA public debut at Anime Expo in Anaheim, California. They were well received at the convention, with 6,000 fans in attendance at their panel.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1626198927i%2F8476._UY200_CR49%2C0%2C200%2C200_.jpg&w=256&q=75,192,4.4,2234,61,,Missing,https://www.goodreads.com/book/show/3768830-xxxholic-vol-13,"['1,247 (55%)', '696 (31%)', '239 (10%)', '35 (1%)', '17 (<1%)']",507,3,,
