"a problem from hell", samantha power
j.r.r. tolkien, wayne g. hammond
jabari jumps, gaia cornwall
jabril, d.b. reynolds
jacinto's remnant, karen traviss
jack & jill, james patterson
jack and kill, diane capri
jack frusciante è uscito dal gruppo, enrico brizzi
jack kennedy, chris matthews
jack maggs, peter carey
jack of fables, vol. 1, bill willingham
jack of fables, vol. 2, bill willingham
jack of fables, vol. 3, bill willingham
jack of fables, vol. 5, bill willingham
jack of fables, vol. 6, bill willingham
jack of fables, vol. 8, bill willingham
jack of fables, vol. 9, bill willingham
jack reacher's rules, lee child
jack, jack welch
jackaby, william ritter
jackaroo, cynthia voigt
jackdaw, k.j. charles
jackdaws, ken follett
jacob have i loved, katherine paterson
jacob t. marley, r. william bennett
jacob's hands, aldous huxley
jacob's room, virginia woolf
jacob, jacquelyn frank
jacques the fatalist, denis diderot
jaded, tijan*
jagged, kristen ashley
jahanara, kathryn lasky
jake undone, penelope ward
jamaica inn, daphne du maurier
james acaster's classic scrapes, james acaster
james and the giant peach, roald dahl
james herriot's dog stories, james herriot
james herriot's treasury for children, james herriot
james herriot, james herriot
james madison, ralph louis ketcham
james moriarty, consulting criminal, andy weir
james penney's new identity / guy walks into a bar, lee child
james potter and the curse of the gatekeeper, g. norman lippert
james potter and the hall of elders' crossing, g. norman lippert
james, percival everett
jameson, k.f. breene
jamie at home, jamie oliver
jammed, deany ray
jamrach's menagerie, carol birch
jane and prudence, barbara pym
jane and the man of the cloth, stephanie barron
jane and the wandering eye, stephanie barron
jane austen girl, inglath cooper
jane austen, claire tomalin
jane austen, jane austen
jane bites back, michael thomas ford
jane goes batty, michael thomas ford
jane seymour, alison weir
jane steele, lyndsay faye
jane the quene, janet ambrosi wertman
jane's warlord, angela knight
jane, april lindner
jane, unlimited, kristin cashore
janesville, amy goldstein
janet evanovich three and four two-book set, janet evanovich
janie face to face, caroline b. cooney
japanese destroyer captain, tameichi hara
japanese fairy tales, yei theodora ozaki
jasmyn, alex bell
jason, laurell k. hamilton
javelin rain, myke cole
jaws, peter benchley
jayber crow, wendell berry
jazz, toni morrison
jealousy, lili st. crow
jed had to die, tara sivec
jedyna, kiera cass
jefferson and hamilton, john ferling
jefferson the virginian, dumas malone
jefferson, john b. boles
jekel loves hyde, beth fantaskey
jemima j, jane green
jenna & jonah's fauxmance, emily franklin
jeremy fink and the meaning of life, wendy mass
jerkbait, mia siegert
jersey angel, beth ann bauman
jerusalem, simon sebag montefiore
jerusalem, yotam ottolenghi
jesse's girl, miranda kenneally
jessica jones, brian michael bendis
jessica's guide to dating on the dark side, beth fantaskey
jesus calling, sarah young
jesus feminist, sarah bessey
jesus for president, shane claiborne
jesus freaks, d.c. talk
jesus land, julia scheeres
jesus outside the lines, scott sauls
jesus storybook bible, sally lloyd-jones
jesus the christ, james e. talmage
jesus, my father, the cia, and me, ian morgan cron
jet, russell blake
jewel of atlantis, gena showalter
jewel, beverly jenkins
jewel, bret lott
jewels of the sun, nora roberts
jhereg, steven brust
jigsaw, ed mcbain
jim henson's tale of sand, jim henson
jim knopf und lukas der lokomotivführer, michael ende
jimmy corrigan, chris ware
jimmy stewart, michael munn
jingle bell harbor, tracy brogan
jingo, terry pratchett
jinx's magic, sage blackwood
jinx, meg cabot
jinx, sage blackwood
jitterbug perfume, tom robbins
jla, grant morrison
jla, vol. 1, grant morrison
jo's boys, louisa may alcott
job, joseph roth
job, robert a. heinlein
joe cinque's consolation, helen garner
joe dimaggio, richard ben cramer
joe gould's secret, joseph mitchell
joe gould's teeth, jill lepore
joe ledger, jonathan maberry
joe r. lansdale's the drive-in, joe r. lansdale
joe speedboot, tommy wieringa
joe steele, harry turtledove
joe the barbarian, grant morrison
joe, larry brown
joel on software, joel spolsky
joey pigza swallowed the key, jack gantos
johannes cabal the necromancer, jonathan l. howard
john brown, abolitionist, david s. reynolds
john carter and the gods of hollywood, michael d. sellers
john dies at the end, david wong
john lennon, philip norman
john quincy adams, harlow giles unger
john quincy adams, paul c. nagel
john, cynthia lennon
johnny and the bomb, terry pratchett
johnny and the dead, terry pratchett
johnny be good, paige toon
johnny got his gun, dalton trumbo
johnny panic and the bible of dreams, sylvia plath
johnny tremain, esther forbes
joker, brian azzarello
jolie blon's bounce, james lee burke
jonas, k.f. breene
jonathan livingston seagull, richard bach
jonathan unleashed, meg rosoff
joni, joni eareckson tada
jordan, katie price
joseph had a little overcoat, simms taback
joseph smith the prophet, truman g. madsen
josey baker bread, josey baker
josh and hazel's guide to not dating, christina lauren
joshua dread, lee bacon
joshua, joseph f. girzone
jotham's journey, arnold ytreeide
journal 64, jussi adler-olsen
journal of a solitude, may sarton
journals, kurt cobain
journey into the past, stefan zweig
journey of souls, michael newton
journey to ixtlan, carlos castaneda
journey to munich, jacqueline winspear
journey to the center of the earth, jules verne
journey to the river sea, eva ibbotson
journey to the well, diana wallis taylor
journey under the midnight sun, keigo higashino
journey without maps, graham greene
journey, angela elwell hunt
journeys out of the body, robert a. monroe
joust, mercedes lackey
joy for beginners, erica bauermeister
joy in the morning, betty smith
joy in the morning, p.g. wodehouse
joy of cooking, irma s. rombauer
joy the baker cookbook, joy wilson
joyland, stephen king
joyride, anna banks
jpod, douglas coupland
jubal sackett, louis l'amour
judas déchaîné, peter f. hamilton
judas démasqué, peter f. hamilton
judas unchained, peter f. hamilton
judas, astrid holleeder
jude the obscure, thomas hardy
jude's law, lori foster
judge & jury, james patterson
judge dredd, garth ennis
judge dredd, john wagner
judgement day, terry pratchett
judgement in death, j.d. robb
judgment cometh, scott pratt
judgment in death, j.d. robb
judgment under uncertainty, daniel kahneman
judy moody gets famous!, megan mcdonald
judy moody girl detective, megan mcdonald
judy moody saves the world!, megan mcdonald
judy, damien lewis
juego de tronos, george r.r. martin
julia and jacques cooking at home, julia child
julia's chocolates, cathy lamb
julia's house for lost creatures, ben hatke
julie and julia, julie powell
juliet takes a breath, gabby rivera
juliet, anne fortier
juliet, naked, nick hornby
julián is a mermaid, jessica love
july's people, nadine gordimer
july, audrey carlan
jump!, jilly cooper
jumping jude, lucy lennox
junie b. jones and a little monkey business, barbara park
junie b. jones and her big fat mouth, barbara park
junie b. jones and some sneaky peeky spying, barbara park
junie b. jones and that meanie jim's birthday, barbara park
junie b. jones and the  stupid smelly bus, barbara park
junie b. jones and the mushy gushy valentime, barbara park
junie b. jones has a monster under her bed, barbara park
junie b. jones is (almost) a flower girl, barbara park
junie b. jones is a beauty shop guy, barbara park
junie b. jones is a party animal, barbara park
junie b. jones is not a crook, barbara park
juniper, monica furlong
junjo romantica, volume 01, shungiku nakamura
junk, melvin burgess
junky, william s. burroughs
jupiter's travels, ted simon
just a bit confusing, alessandra hazard
just a bit obsessed, alessandra hazard
just a bit twisted, alessandra hazard
just a bit unhealthy, alessandra hazard
just a bit wicked, alessandra hazard
just a bit wrong, alessandra hazard
just a mess, mercer mayer
just above my head, james baldwin
just after sunset, stephen king
just another judgement day, simon r. green
just as i am, billy graham
just as i am, cicely tyson
just as long as we're together, judy blume
just babies, paul bloom
just do something, kevin deyoung
just ella, annette k. larsen
just ella, margaret peterson haddix
just enough research, erika hall
just for fins, tera lynn childs
just for now, abbi glines
just for you, mercer mayer
just for you, sir, laylah roberts
just go to bed, mercer mayer
just good friends, rosalind james
just imagine, susan elizabeth phillips
just kids, patti smith
just kiss me, rachel gibson
just like heaven, julia quinn
just like jesus, max lucado
just listen, mark goulston
just listen, sarah dessen
just look up, courtney walsh
just me and my puppy, mercer mayer
just me in the tub, gina mayer
just my type, simon garfield
just one damned thing after another, jodi taylor
just one day, gayle forman
just one drop, quinn loftis
just one look, harlan coben
just one more thing, peter falk
just one night, gayle forman
just one night, lauren layne
just one of the guys, kristan higgins
just one wish, janette rallison
just one year, gayle forman
just remember to breathe, charles sheehan-miles
just ride, grant petersen
just shy of harmony, philip gulley
just so stories, rudyard kipling
just take my heart, mary higgins clark
just the sexiest man alive, julie james
just this once, rosalind james
just too good to be true, e. lynn harris
just walk across the room, bill hybels
just what kind of mother are you?, paula daly
justice burning, scott pratt
justice calling, annie bellet
justice denied, j.a. jance
justice for sara, erica spindler
justice in the shadows, radclyffe
justice redeemed, scott pratt
justice, laurann dohner
justice, michael j. sandel
justice, volume 1, jim krueger
justin bieber, justin bieber
juxtaposition, piers anthony
jądro ciemności, joseph conrad
k is for killer, sue grafton
k-pax, gene brewer
k., roberto calasso
k2, ed viesturs
kabul beauty school, deborah rodriguez
kade's game, c.m. owens
kade's turn, tiffany snow
kafka on the shore, haruki murakami
kafka sulla spiaggia, haruki murakami
kafka, david zane mairowitz
kage, maris black
kahayatle, elle casey
kaikeyi, vaishnavi patel
kaiulani, ellen emerson white
kaleidoscope century, john barnes
kaleidoscope hearts, claire contreras
kaleidoscope, danielle steel
kalki, gore vidal
kalle blomquist meisterdetektiv, astrid lindgren
kalona's fall, p.c. cast
kambing jantan, raditya dika
kamikaze kaito jeanne, vol. 1, arina tanemura
kamikaze, moira rogers
kamisama kiss, vol. 1, julietta suzuki
kamisama kiss, vol. 10, julietta suzuki
kamisama kiss, vol. 11, julietta suzuki
kamisama kiss, vol. 12, julietta suzuki
kamisama kiss, vol. 13, julietta suzuki
kamisama kiss, vol. 2, julietta suzuki
kamisama kiss, vol. 3, julietta suzuki
kamisama kiss, vol. 4, julietta suzuki
kamisama kiss, vol. 5, julietta suzuki
kamisama kiss, vol. 6, julietta suzuki
kamisama kiss, vol. 7, julietta suzuki
kamisama kiss, vol. 9, julietta suzuki
kane and abel, jeffrey archer
kaninjägaren, lars kepler
kaputt, curzio malaparte
kare kano, masami tsuda
karen's kittycat club, ann m. martin
karen's new year, ann m. martin
karen's witch, ann m. martin
kartonnen dozen, tom lanoye
kasieńka, sarah crossan
katharine of aragon, jean plaidy
katherine of aragon, the true queen, alison weir
katherine swynford, alison weir
katherine, anya seton
katrina, gary rivlin
katwalk, karen kijewski
kazunomiya, kathryn lasky
keep a quiet heart, elisabeth elliot
keep her safe, sophie hannah
keep holding on, susane colasanti
keep me, anna zaires
keep quiet, lisa scottoline
keep the aspidistra flying, george orwell
keep your love on, danny silk
keep, rachel van dyken
keeper of the bride, tess gerritsen
keeper of the heart, johanna lindsey
keeper of the light, diane chamberlain
keeper, amy daws
keeping faith, jodi picoult
keeping her secret, sarah nicolas
keeping her, cora carmack
keeping lily, izzy sweet
keeping secrets, l.a. dobbs
keeping the moon, sarah dessen
keeping you a secret, julie anne peters
keepsake, sarina bowen
kellie's diary #2, thomas jenner
kennedy wives, amber hunt
kenobi, john jackson miller
kensuke's kingdom, michael morpurgo
ketika cinta bertasbih, habiburrahman el-shirazy
keturah and lord death, martine leavitt
key lime pie murder, joanne fluke
key of light, nora roberts
key of valor, nora roberts
key person of influence (revised edition), daniel priestley
keys to drawing, bert dodson
keys to the demon prison, brandon mull
keys to the repository, melissa de la cruz
khan, conn iggulden
khullam khulla, rishi kapoor
kian, tijan*
kick the candle, genevieve jack
kick-ass 2, mark millar
kick-ass, mark millar
kickback, garry disher
kicking it, faith hunter
kidnapped by the pirate, keira andrews
kidnapped the wrong sister, marie kelly
kidnapped, robert louis stevenson
kidnapped, suzanne ferrell
kids of appetite, david arnold
kiki's delivery service, eiko kadono
kill alex cross, james patterson
kill all normies, angela nagle
kill and tell, linda howard
kill anything that moves, nick turse
kill city blues, richard kadrey
kill creek, scott thomas
kill game, cordelia kingsbridge
kill me again, rachel abbott
kill me if you can, james patterson
kill me twice, roxanne st. claire
kill shot, vince flynn
kill switch, jonathan maberry
kill switch, penelope douglas
kill the boy band, goldy moldavsky
kill the dead, richard kadrey
kill the father, sandrone dazieri
kill your friends, john niven
killbox, ann aguirre
killer chef, james patterson
killer insight, victoria laurie
killer instinct, jennifer lynn barnes
killer instinct, joseph finder
killer jam, karen macinerney
killer of men, christian cameron
killer on the road, james ellroy
killer pancake, diane mott davidson
killer pizza, greg taylor
killer takes all, erica spindler
killer view, ridley pearson
killer's kiss, r.l. stine
killer, jonathan kellerman
killer, sara shepard
killers of a certain age, deanna raybourn
killers of the flower moon, david grann
killfile, christopher farnsworth
killing and dying, adrian tomine
killing britney, sean olin
killing commendatore, haruki murakami
killing fear, allison brennan
killing floor, lee child
killing jesus, bill o'reilly
killing kennedy, bill o'reilly
killing lincoln, bill o'reilly
killing me softly, nicci french
killing mr. griffin, lois duncan
killing patton, bill o'reilly
killing reagan, bill o'reilly
killing sarai, j.a. redmerski
killing season, l.t. vargus
killing stalking, koogi
killing the rising sun, bill o'reilly
killing the ss, bill o'reilly
killing the witches, bill o'reilly
killing time, caleb carr
killing time, della van hise
killing time, linda howard
killjoy, julie garwood
killman creek, rachel caine
killobyte, piers anthony
kilmeny of the orchard, l.m. montgomery
kiln people, david brin
kim, rudyard kipling
kimchi & calamari, rose kent
kimi ni todoke, karuho shiina
kind of cruel, sophie hannah
kinder than solitude, yiyun li
kindling the moon, jenn bennett
kindness goes unpunished, craig johnson
kindred spirits, mark anthony
kindred, damian duffy
kindred, j.a. redmerski
kindred, octavia e. butler
kinfolk, pearl s. buck
king and maxwell, david baldacci
king and the dragonflies, kacen callender
king baby, kate beaton
king bidgood's in the bathtub, audrey wood
king breaker, rowena cory daniells
king dork, frank portman
king for a day, mimi jean pamfiloff
king henry iv, part 1, william shakespeare
king henry vi, part 2, william shakespeare
king hereafter, dorothy dunnett
king jesus, robert graves
king john, william shakespeare
king kelson's bride, katherine kurtz
king kong théorie, virginie despentes
king lear, william shakespeare
king leopold's ghost, adam hochschild
king of campus, jennifer sucevic
king of capital, david carey
king of code, c.d. reiss
king of foxes, raymond e. feist
king of hearts, l.h. cosway
king of kings, harry sidebottom
king of pride, ana huang
king of scars, leigh bardugo
king of sloth, ana huang
king of swords, russell blake
king of the vagabonds, neal stephenson
king of the wind, marguerite henry
king of thorns, mark lawrence
king of wall street, louise bay
king rat, james clavell
king solomon's mines, h. rider haggard
king's cage, victoria aveyard
king's dragon, kate elliott
king's property, morgan howell
king's shield, sherwood smith
king's, mimi jean pamfiloff
king, t.m. frazier
kingdom come, j.g. ballard
kingdom come, tim lahaye
kingdom hearts ii, vol. 2, shiro amano
kingdom of ash, sarah j. maas
kingdom of shadows, alan furst
kingdom of shadows, barbara erskine
kingdom of the feared, kerri maniscalco
kingdom of the golden dragon, isabel allende
kingdom of the wicked, derek landy
kingdom, robyn young
kingdoms and conquerors, chris heimerdinger
kings of broken things, theodore wheeler
kings of the wyld, nicholas eames
kingsblood royal, sinclair lewis
kinsey and me, sue grafton
kinslayer, jay kristoff
kira-kira, cynthia kadohata
kirinyaga, mike resnick
kirkland revels, victoria holt
kirsten learns a lesson, janet beeler shaw
kirsten saves the day, janet beeler shaw
kisah sang penandai, tere liye
kisah tragis oei hui lan putri orang terkaya di indonesia, agnes davonar
kiss an angel, susan elizabeth phillips
kiss and spell, shanna swendson
kiss crush collide, christina meredith
kiss her goodbye, wendy corsi staub
kiss kiss, roald dahl
kiss me at the stroke of midnight, vol. 1, rin mikimoto
kiss me deadly, trisha telep
kiss me kill me, lauren henderson
kiss me while i sleep, linda howard
kiss me, annabel, eloisa james
kiss of a demon king, kresley cole
kiss of crimson, lara adrian
kiss of fire, rebecca ethington
kiss of heat, lora leigh
kiss of life, daniel waters
kiss of midnight, lara adrian
kiss of snow, nalini singh
kiss of steel, bec mcmaster
kiss of the highlander, karen marie moning
kiss of the night, sherrilyn kenyon
kiss river, diane chamberlain
kiss the dead, laurell k. hamilton
kiss the girls, james patterson
kiss the morning star, elissa janine hoole
kiss the sky, krista ritchie
kiss, jacqueline wilson
kiss, ted dekker
kissani jugoslavia, pajtim statovci
kisscut, karin slaughter
kissed a sad goodbye, deborah crombie
kissed by an angel/the power of love/soulmates, elizabeth chandler
kissed, elizabeth finn
kisses from hell, kristin cast
kissing christmas goodbye, m.c. beaton
kissing coffins, ellen schreiber
kissing frogs, alisha sevigny
kissing god goodbye, june jordan
kissing in cars, sara ney
kissing kate, lauren myracle
kissing madeline, lex martin
kissing sin, keri arthur
kissing steel, laurann dohner
kissing the witch, emma donoghue
kitchen confidential, anthony bourdain
kitchen, banana yoshimoto
kitchens of the great midwest, j. ryan stradal
kits, faith hunter
kitten's first full moon, kevin henkes
kitty and the midnight hour, carrie vaughn
kitty raises hell, carrie vaughn
kitty's house of horrors, carrie vaughn
klara and the sun, kazuo ishiguro
kleider machen leute, gottfried keller
kneading to die, liz mugavero
knife edge, malorie blackman
knife of dreams, robert jordan
knife, salman rushdie
knight & day, kitty french
knight & stay, kitty french
knight life, peter david
knight, kristen ashley
knights of the kitchen table, jon scieszka
knit one, kill two, maggie sefton
knit the season, kate jacobs
knit two, kate jacobs
knitting bones, monica ferris
knocked out by my nunga-nungas, louise rennison
knocked up by the bad boy, vanessa waltz
knots and crosses, ian rankin
know my name, chanel miller
knowing god, j.i. packer
knowing you, allie everhart
knowing your value, mika brzezinski
knowledge and decisions, thomas sowell
known and strange things, teju cole
known, kendra elliot
knuffle bunny, mo willems
kobane calling, zerocalcare
kodiak's claim, eve langlais
kohinoor, william dalrymple
koko, peter straub
kolymsky heights, lionel davidson
kom hier dat ik u kus, griet op de beeck
komarr, lois mcmaster bujold
komt een vrouw bij de dokter, kluun
koning van katoren, jan terlouw
konklave, robert harris
konrad wallenrod, adam mickiewicz
koralina, neil gaiman
korea, daniel tudor
korona w mroku, sarah j. maas
kosiarze, neal shusterman
kosogłos, suzanne collins
kraken rising, greig beck
krakens and lies, tui t. sutherland
krampus, brom*
krew elfów, andrzej sapkowski
kriegerin im schatten, sarah j. maas
kristen, lisi harrison
kristin lavransdatter, sigrid undset
kristina, carolyn meyer
kristy and the missing child, ann m. martin
kristy's big day, ann m. martin
kristy's great idea, ann m. martin
kristy's great idea, raina telgemeier
krondor, raymond e. feist
krysař, viktor dyk
król edyp, sophocles
królestwo kanciarzy, leigh bardugo
królowa cieni, sarah j. maas
księga cmentarna, neil gaiman
kulti, mariana zapata
kushiel's chosen, jacqueline carey
kushiel's dart, jacqueline carey
kushiel's justice, jacqueline carey
kushiel's mercy, jacqueline carey
kushiel's scion, jacqueline carey
kwiaty dla algernona, daniel keyes
kybalion, three initiates
kyland, mia sheridan
königin der finsternis, sarah j. maas
kör baykuş, sadegh hedayat
kürk mantolu madonna, sabahattin ali
l is for lawless, sue grafton
l'alchimiste, paulo coelho
l'allieva, alessia gazzola
l'amante di lady chatterley, d.h. lawrence
l'amico ritrovato, fred uhlman
l'amie prodigieuse, elena ferrante
l'angelo, cassandra clare
l'appart, david lebovitz
l'appel de l'ange, guillaume musso
l'arabe du futur , riad sattouf
l'arabe du futur 2 , riad sattouf
l'arabe du futur 3 , riad sattouf
l'arminuta, donatella di pietrantonio
l'arte della gioia, goliarda sapienza
l'empire des mille planètes, pierre christin
l'estate che sciolse ogni cosa, tiffany mcdaniel
l'insostenibile leggerezza dell'essere, milan kundera
l'instant présent, guillaume musso
l'invention des ailes, sue monk kidd
l'isola del tesoro, robert louis stevenson
l'isola di arturo, elsa morante
l'oracolo nascosto, rick riordan
l'écume des jours, boris vian
l'éducation sentimentale, gustave flaubert
l'étranger, albert camus
l. a. dead, stuart woods
l.a. candy, lauren conrad
l.a. requiem, robert crais
l8r, g8r, lauren myracle
la abadía de northanger, jane austen
la amiga estupenda, elena ferrante
la bella estate, cesare pavese
la belle sauvage, philip pullman
la biblia de los caídos. tomo 0, fernando trujillo sanz
la bussola d'oro, philip pullman
la campana de cristal, sylvia plath
la canción de aquiles, madeline miller
la canzone di achille, madeline miller
la carte et le territoire, michel houellebecq
la casa de los conejos, laura alcoba
la casa de los espíritus, isabel allende
la casa degli spiriti, isabel allende
la casa in collina, cesare pavese
la casa torcida, agatha christie
la casa, paco roca
la celestina, fernando de rojas
la cena, herman koch
la chica del tren, paula hawkins
la chica que soñaba con una cerilla y un bidón de gasolina, stieg larsson
la ciudad de las bestias, isabel allende
la ciudad y los perros, mario vargas llosa
la colonna di fuoco, ken follett
la communauté de l'anneau, j.r.r. tolkien
la compagnia dell'anello, j.r.r. tolkien
la comunidad del anillo, j.r.r. tolkien
la corona di fuoco, sarah j. maas
la coscienza di zeno, italo svevo
la cripta dei cappuccini, joseph roth
la cámara lúcida, roland barthes
la dama de las camelias, alexandre dumas fils
la dama del lago, andrzej sapkowski
la dame aux camélias, alexandre dumas fils
la delicadeza, david foenkinos
la elegida, kiera cass
la espada de cristal, victoria aveyard
la espada del destino, andrzej sapkowski
la españa vacía, sergio del molino
la famiglia karnowski, israel j. singer
la fattoria degli animali, george orwell
la fiesta del chivo, mario vargas llosa
la figlia oscura, elena ferrante
la fille de brooklyn, guillaume musso
la fille de papier, guillaume musso
la fine dell'eternità, isaac asimov
la gita a tindari, andrea camilleri
la hija del pantano, karen dionne
la historia del loco, john katzenbach
la historia interminable, michael ende
la historiadora, elizabeth kostova
la horde du contrevent, alain damasio
la ilíada, homer
la insoportable levedad del ser, milan kundera
la isla del tesoro, robert louis stevenson
la joven de las naranjas, jostein gaarder
la ladrona de libros, markus zusak
la lama dell'assassina, sarah j. maas
la lección de august, r.j. palacio
la leggenda del santo bevitore, joseph roth
la ley del espejo, yoshinori noguchi
la llamada de cthulhu y otros relatos, h.p. lovecraft
la loba de francia, maurice druon
la loca de la casa, rosa montero
la lotería, shirley jackson
la lotteria, shirley jackson
la luna e i falò, cesare pavese
la lunga attesa dell'angelo, melania g. mazzucco
la luz fantástica, terry pratchett
la luz que no puedes ver, anthony doerr
la macchina del tempo, h.g. wells
la main gauche de la nuit, ursula k. le guin
la maldición de hill house, shirley jackson
la maledizione del titano, rick riordan
la marcia di radetzky, joseph roth
la mennulara, simonetta agnello hornby
la metamorfosis, franz kafka
la modification, michel butor
la montagna incantata, thomas mann
la mécanique du cœur, mathias malzieu
la mémoire de babel, christelle dabos
la niebla, stephen king
la ninfa de porcelana, isabel allende
la noche en que frankenstein leyó el quijote, santiago posteguillo
la oscura verdad de mara dyer, michelle hodkin
la oscuridad de los colores, martin blasco
la pareja de al lado, shari lapena
la pelle, curzio malaparte
la perra, pilar quintana
la peste écarlate, jack london
la peste, albert camus
la pirámide roja, rick riordan
la place, annie ernaux
la première nuit, marc levy
la princesa de papel, erin watt
la principessa, cassandra clare
la prochaine fois, marc levy
la ragazza di bube, carlo cassola
la reina roja, victoria aveyard
la ridícula idea de no volver a verte, rosa montero
la sangre de los libros, santiago posteguillo
la selección, kiera cass
la setta degli assassini, licia troisi
la señora dalloway, virginia woolf
la signorina else, arthur schnitzler
la sociedad de la rosa, marie lu
la strada, cormac mccarthy
la tempestad, william shakespeare
la traición de roma, santiago posteguillo
la tregua, mario benedetti
la tresse, laetitia colombani
la utilidad de lo inútil, nuccio ordine
la vague, todd strasser
la vegetariana, han kang
la viande, c'est la force, boulet
la vie en mieux, anna gavalda
la viuda, fiona barton
la voz de archer, mia sheridan
la vuelta al mundo en 80 días, jules verne
la élite, kiera cass
la última salida, federico axat
labor day, joyce maynard
labyrinth, kat richardson
labyrinth, kate mosse
lacci, domenico starnone
lace, shirley conran
lackadaisy, tracy j. butler
lad, albert payson terhune
ladies and gentlemen, the bible!, jonathan goldstein
ladies man, katy evans
ladies' man, suzanne brockmann
lady almina and the real downton abbey, fiona carnarvon
lady and the tramp, teddy slater
lady audley's secret, mary elizabeth braddon
lady cop makes trouble, amy stewart
lady cottington's pressed fairy book, terry jones
lady friday, garth nix
lady in waiting, susan meissner
lady isabella's scandalous marriage, jennifer ashley
lady jayne disappears, joanna davidson politano
lady jenny's christmas portrait, grace burrowes
lady killers, tori telfer
lady knight, tamora pierce
lady luck's map of vegas, barbara o'neal
lady luck, kristen ashley
lady midnight, cassandra clare
lady of ashes, christine trent
lady of ch'iao kuo, laurence yep
lady of devices, shelley adina
lady of hay, barbara erskine
lady of milkweed manor, julie klassen
lady of quality, georgette heyer
lady of the english, elizabeth chadwick
lady of the eternal city, kate quinn
lady of the forest, jennifer roberson
lady of the lake, andrzej sapkowski
lady oracle, margaret atwood
lady pancake & sir french toast, josh funk
lady pirate, lynsay sands
lady sings the blues, billie holiday
lady sophia's lover, lisa kleypas
lady sophie's christmas wish, grace burrowes
lady susan, jane austen
lady tan’s circle of women, lisa see
lady windermere’s fan, oscar wilde
laid bare, lauren dane
laid bear, marina maddix
laidlaw, william mcilvanney
lair, james herbert
laird of the mist, paula quinn
lake in the clouds, sara donati
lake news, barbara delinsky
lakeshore christmas, susan wiggs
lakeside cottage, susan wiggs
lakewood, megan giddings
lamb to the slaughter, roald dahl
lamb, christopher moore
lament, maggie stiefvater
lampje, annet schaap
lana, r.k. lilley
lanark, alasdair gray
land of milk and honey, c pam zhang
land of the buffalo bones, marion dane bauer
land of the living, nicci french
land of the lustrous, vol. 1, haruko ichikawa
landline, rainbow rowell
lanzarote, michel houellebecq
lara, anna pasternak
lara, bertrice small
larklight, philip reeve
larkspur cove, lisa wingate
larose, louise erdrich
las chicas de alambre, jordi sierra i fabra
las cinco personas que encontrarás en el cielo, mitch albom
las ciudades invisibles, italo calvino
las deudas del cuerpo, elena ferrante
las dos torres, j.r.r. tolkien
las flores del mal, charles baudelaire
las legiones malditas, santiago posteguillo
las noches habitadas, alma delia murillo
las tejedoras de destinos, gennifer albin
las vírgenes suicidas, jeffrey eugenides
lasher, anne rice
laskar pelangi, andrea hirata
lassoing the virgin mail-order bride, alexa riley
last and first men, olaf stapledon
last argument of kings, joe abercrombie
last breath, karin slaughter
last breath, michael prescott
last call at the nightshade lounge, paul krueger
last call, alice clayton
last call, elon green
last call, staci hart
last car to elysian fields, james lee burke
last chance book club, hope ramsay
last chance saloon, marian keyes
last chance to see, douglas adams
last child in the woods, richard louv
last christmas in paris, hazel gaynor
last christmas, kate brian
last days, brian evenson
last dragon standing, g.a. aiken
last exit to brooklyn, hubert selby jr.
last hit, jessica clare
last hope island, lynne olson
last hope, jessica clare
last human, doug naylor
last kiss goodnight, teresa driscoll
last kiss, jessica clare
last kiss, luanne rice
last light, dean koontz
last light, terri blackstock
last man standing, david baldacci
last night at chateau marmont, lauren weisberger
last night at the telegraph club, malinda lo
last night at the viper room, gavin edwards
last night in twisted river, john irving
last of the breed, louis l'amour
last one home, debbie macomber
last reveille, david morrell
last rituals, yrsa sigurdardottir
last sacrifice, richelle mead
last scene alive, charlaine harris
last seen after midnight, budjette tan
last seen wearing, colin dexter
last seen, lucy clarke
last stand of dead men, derek landy
last stand, william h. weber
last stop on market street, matt de la pena
last summer, rebecca a. rogers
last term at malory towers, enid blyton
last to die, tess gerritsen
last train to memphis, peter guralnick
last writes, laura levine
lasting damage, sophie hannah
latakia, j.f. smith
late eclipses, seanan mcguire
late fame, arthur schnitzler
late for school!, stephanie calmenson
late night talking, leslie schnur
late, late at night, rick springfield
later gator, jana deleon
later, stephen king
lattes, ladyfingers, and lies, harper lin
laughable loves, milan kundera
laughed 'til he died, carolyn g. hart
laughter in the dark, vladimir nabokov
laundry day, maurie j. manning
laura dean keeps breaking up with me, mariko tamaki
laura lamont's life in pictures, emma straub
laura und das siegel der sieben monde, peter freund
laura, vera caspary
lauren conrad style, lauren conrad
laurinda, alice pung
lavinia, ursula k. le guin
lavondyss, robert holdstock
law & disorder, john e. douglas
law and disorder, heather graham
law and disorder, mike papantonio
law of attraction, allison leotta
law of success, napoleon hill
lawe's justice, lora leigh
lawless, t.m. frazier
lawman, diana palmer
lawn boy, gary paulsen
lawn boy, jonathan evison
lay down my sword and shield, james lee burke
lay that trumpet in our hands, susan carol mccarthy
lazarillo de tormes, anonymous
ldk 1, ayu watanabe
le affinità elettive, johann wolfgang von goethe
le anime morte, nikolai gogol
le città invisibili, italo calvino
le couple d'à côté, shari lapena
le due guerriere, licia troisi
le jeu de l'amour et du hasard, pierre de marivaux
le maître des illusions, donna tartt
le menzogne della notte, gesualdo bufalino
le monde de charlie, stephen chbosky
