book
"the great transition, nick fuller googins"
"texas glory, lorraine heath"
"ink, alice broadway"
"der weg der könige, brandon sanderson"
"worlds enough and time, joe haldeman"
"the candy shop war, brandon mull"
"the invisible life of addie larue, v.e. schwab"
"fall on me, chloe walsh"
"need to know, fern michaels"
"betrayed, p.c. cast"
"pucked over, helena hunting"
"plum pudding murder, joanne fluke"
"coyote dreams, c.e. murphy"
"something in the way, jessica hawkins"
"the time in between, kristen ashley"
"20,000 leagues under the sea and other classic novels, jules verne"
"beasts and beauty, soman chainani"
"the lore of the evermen, james maxwell"
"heartbreaker, julie garwood"
"divide & conquer, abigail roux"
"play with me, kristen proby"
"el libro del cementerio, neil gaiman"
"airframe, michael crichton"
"magician, raymond e. feist"
"phantom, l.j. smith"
"the selkie, melanie jackson"
"the summer's end, mary alice monroe"
"the trouble with valentine's day, rachel gibson"
"shiver trilogy boxset, maggie stiefvater"
"emma, alexander mccall smith"
"hellboy, vol. 12, mike mignola"
"nights of rain and stars, maeve binchy"
"thunderbird falls, c.e. murphy"
"whiskey words & a shovel ii, r.h. sin"
"call of the kiwi, sarah lark"
"the inheritance cycle, christopher paolini"
"other words for love, lorraine zago rosenthal"
"the happy prince and other tales, oscar wilde"
"palace of mirrors, margaret peterson haddix"
"alice's adventures in wonderland and through the looking glass, lewis carroll"
"a tailor-made bride, karen witemeyer"
"into the wild, erin hunter"
"path of blood, diana pharaoh francis"
"lost in a good book, jasper fforde"
"cover of night, linda howard"
"the hound, h.p. lovecraft"
"berserk, vol. 26, kentaro miura"
"relentless, karen lynch"
"dirty bad strangers, jade west"
"breaking her, r.k. lilley"
"ghost, daphne loveling"
"contest, matthew reilly"
"purple hearts, tess wakefield"
"elemental, alexandra may"
"swan song, elin hilderbrand"
"the legend of the seventh virgin, victoria holt"
"paradise lost, kate brian"
"double-sided magic, mckenzie hunter"
"examination day, henry slesar"
"celia's house, d.e. stevenson"
"rainshadow road, lisa kleypas"
"straddling the line, jaci burton"
"flawed, kate avelynn"
"the eternal smile, gene luen yang"
"d.n.angel, vol. 11, yukiru sugisaki"
"the transition, luke kennard"
"starting over, robin pilcher"
"my fat, mad teenage diary, rae earl"
"girls out late, jacqueline wilson"
"fullmetal alchemist, vol. 9, hiromu arakawa"
"happiness, vol. 2, shuzo oshimi"
"these hollow vows, lexi ryan"
"the silver rose, jane feather"
"simply sensual, carly phillips"
"lipstick apology, jennifer jabaley"
"masquerade, melissa de la cruz"
"transmetropolitan, vol. 10, warren ellis"
"juego de tronos, george r.r. martin"
"monster, christopher pike"
"agatha heterodyne and the airship city, phil foglio"
"journey to ixtlan, carlos castaneda"
"that summer, jennifer weiner"
"devotion, ivy smoak"
"in a glass grimmly, adam gidwitz"
"spinning out, lexi ryan"
"the great god pan, arthur machen"
"der weg ins labyrinth, holly black"
"transcend, jewel e. ann"
"entfesselt, kathryn taylor"
"superstitious, r.l. stine"
"electric idol, katee robert"
"what a wicked earl wants, vicky dreiling"
"the naked laird, sally mackenzie"
"johnny be good, paige toon"
"a vintage affair, isabel wolff"
"the fiery cross, diana gabaldon"
"american savages, j.j. mcavoy"
"a dark and drowning tide, allison saft"
"that summer, sarah dessen"
"el castillo ambulante, diana wynne jones"
"diary of an oxygen thief, anonymous"
"redemption, amy miles"
"the anatomy of us, amelia lefay"
"bleach, vol. 7, tite kubo"
"gather the daughters, jennie melamed"
"from a distance, tamera alexander"
"a plague of angels, sheri s. tepper"
"the pact, karina halle"
"fire in the east, harry sidebottom"
"peeps, scott westerfeld"
"traitor to the throne, alwyn hamilton"
"the weight of feathers, anna-marie mclemore"
"record of a spaceborn few, becky chambers"
"irish folk and fairy tales, gordon jarvie"
"fallen heir, erin watt"
"the horror at red hook, h.p. lovecraft"
"the last town, blake crouch"
"sheltered by the seal, amy gamet"
"winnie the witch, valerie thomas"
"much ado about you, eloisa james"
"finders keepers, linnea sinclair"
"the goal, elle kennedy"
"the iron ring, lloyd alexander"
"before i met you, lisa jewell"
"breaking the rules, lucy score"
"girl meets ghost, lauren barnholdt"
"cardcaptor sakura, vol. 1, clamp"
"colony, anne rivers siddons"
"empire, rachel van dyken"
"heart-shaped box, joe hill"
"summer of roses, luanne rice"
"fallen dragon, peter f. hamilton"
"mindspeak, heather sunseri"
"starfighters of adumar, aaron allston"
"abarat, clive barker"
"how to eat a cupcake, meg donohue"
"wake, lisa mcmann"
"the red wyvern, katharine kerr"
"did i mention i miss you?, estelle maskame"
"ink blood sister scribe, emma törzs"
"tequila four, tricia o'malley"
"the witch of cologne, tobsha learner"
"come the spring, julie garwood"
"the last one, alexandra oliva"
"seven days in june, tia williams"
"die beschenkte, kristin cashore"
"glitterland, alexis hall"
"the ballad of never after, stephanie garber"
"judge dredd, john wagner"
"dark waters, toni anderson"
"the tower of nero, rick riordan"
"apprentice to the villain, hannah nicole maehrer"
"the voice, anne bishop"
"a trace of moonlight, allison pang"
"out of breath, rebecca donovan"
"captive prince, c.s. pacat"
"in watermelon sugar, richard brautigan"
"darknet, matthew mather"
"once bitten, twice shy, jennifer rardin"
"what a dragon should know, g.a. aiken"
"the frog prince, continued, jon scieszka"
"a song for arbonne, guy gavriel kay"
"forks, knives, and spoons, leah decesare"
"the fix up, kendall ryan"
"one good dragon deserves another, rachel aaron"
"the knowing, sharon cameron"
"on the prowl, patricia briggs"
"defy the worlds, claudia gray"
"rudolph the red-nosed reindeer, barbara shook hazen"
"deadly sins, lora leigh"
"the girls of mischief bay, susan mallery"
"children of the night, dan simmons"
"just listen, sarah dessen"
"merry and bright, debbie macomber"
"names my sisters call me, megan crane"
"rule breaker, lora leigh"
"letting in light, emma davies"
"bone, vol. 1, jeff smith"
"heart of the dragon, gena showalter"
"rockstar daddy, taryn quinn"
"white witch, black curse, kim harrison"
"tortured, caragh m. o'brien"
"malorie, josh malerman"
"the virgin's lover, philippa gregory"
"dreamfever, karen marie moning"
"tiger's voyage, colleen houck"
"sacked, jen frederick"
"sekret, lindsay smith"
"witch way home, danielle garrett"
"against the grain, charlie cochet"
"louise, the adventures of a chicken, kate dicamillo"
"tiger prince, erin st. claire"
"miss you, kate eberlen"
"for love of livvy, j.m. griffin"
"nobody, jennifer lynn barnes"
"hotel ruby, suzanne young"
"why men love bitches, sherry argov"
"the mistress mistake, lynda chance"
"full bloom, janet evanovich"
"children make terrible pets, peter brown"
"do not take your dragon to dinner, julie gassman"
"mile 81, stephen king"
"brothers majere, kevin stein"
"the possibility of an island, michel houellebecq"
"stud muffin, lauren landish"
"perfect, sara shepard"
"bleach, volume 02, tite kubo"
"burn, helen hardt"
"the fault in our stars, john green"
"forward the foundation, isaac asimov"
"star wars, john ostrander"
"the debt, karina halle"
"power play, catherine coulter"
"a trail through time, jodi taylor"
"fahrenheit 451, tim hamilton"
"the impossible vastness of us, samantha young"
"darkness hunts, keri arthur"
"rage of a demon king, raymond e. feist"
"a ghostly undertaking, tonya kappes"
"the dragon reborn, robert jordan"
"pânza de păianjen, cella serghi"
"absolution gap, alastair reynolds"
"perfect you, elizabeth scott"
"shaman's revenge, vasily mahanenko"
"midnight in death, j.d. robb"
"legacy, c.j. daugherty"
"house of secrets, darcy coates"
"the year of the flood, margaret atwood"
"a gathering light, jennifer donnelly"
"the whispering skull, jonathan stroud"
"a feast for crows, george r.r. martin"
"i see london, i see france, sarah mlynowski"
"tender rebel, johanna lindsey"
"changing habits, debbie macomber"
"demon in my view, amelia atwater-rhodes"
"consumed, skyla madi"
"erebos, ursula poznanski"
"one piece, volume 23, eiichiro oda"
"the house of sleep, jonathan coe"
"be more chill, ned vizzini"
"the stonekeeper, kazu kibuishi"
"ocean sea, alessandro baricco"
"after hello, mhairi mcfarlane"
"lover eternal, j.r. ward"
"crosstalk, connie willis"
"close liaisons, anna zaires"
"the queen of wishful thinking, milly johnson"
"wife by wednesday, catherine bybee"
"going postal, terry pratchett"
"olivia, ian falconer"
"pushing patrick, megyn ward"
"the hanging stranger, philip k. dick"
"crush, richard siken"
"zombie fallout, mark tufo"
"22/11/'63, stephen king"
"christmas at little beach street bakery, jenny colgan"
"zombies vs. unicorns, holly black"
"anarchy, jaymin eve"
"to the bright edge of the world, eowyn ivey"
"undeniable, thayer king"
"sins of the house of borgia, sarah bower"
"the stone sky, n.k. jemisin"
"masque of the red death, bethany griffin"
"texas! chase, sandra brown"
"give me tonight, lisa kleypas"
"ascension, nicholas binge"
"the postmortal, drew magary"
"rush revere and the brave pilgrims, rush limbaugh"
"flat-out sexy, erin mccarthy"
"of blood and bone, nora roberts"
"if angels burn, lynn viehl"
"death note, vol. 3, tsugumi ohba"
"sky coyote, kage baker"
"dragon prince, melanie rawn"
"the ghost king, r.a. salvatore"
"the king's buccaneer, raymond e. feist"
"the guestbook, andrea hurst"
"pani jeziora, andrzej sapkowski"
"seeds of yesterday, v.c. andrews"
"the bad death of eduard delacroix, stephen king"
"small admissions, amy poeppel"
"corpus delicti, juli zeh"
"the fledgling handbook 101, p.c. cast"
"remembrance, danielle steel"
"under the mistletoe with me, kristen proby"
"swords and deviltry, fritz leiber"
"scandalous desires, elizabeth hoyt"
"conan the warrior, robert e. howard"
"elite, rachel van dyken"
"the boys, volume 1, garth ennis"
"invincible, vol. 24, robert kirkman"
"losing lila, sarah alderson"
"a deepness in the sky, vernor vinge"
"passion, louise bagshawe"
"the mouse on the moon, leonard wibberley"
"balance, lucia franco"
"a perfect blood, kim harrison"
"the book of summer, michelle gable"
"locke & key, vol. 4, joe hill"
"the game of kings, dorothy dunnett"
"the thousand orcs, r.a. salvatore"
"reaper, rachel vincent"
"fairy tail, vol. 01, hiro mashima"
"unforgiven, lauren kate"
"przykry początek, lemony snicket"
"barbarian mine, ruby dixon"
"i am legend and other stories, richard matheson"
"your tempting love, layla hagen"
"fever moon, karen marie moning"
"the inheritance games, jennifer lynn barnes"
"fragments of horror, junji ito"
"mind's eye, douglas e. richards"
"on turpentine lane, elinor lipman"
"flat stanley, jeff brown"
"forgiven, jana oliver"
"the cure, douglas e. richards"
"hourglass, claudia gray"
"loving, danielle steel"
"always have, claire kingsley"
"a thousand pieces of you, claudia gray"
"summer knight, jim butcher"
"bitch planet #1, kelly sue deconnick"
"flame of sevenwaters, juliet marillier"
"one night with you, sophie jordan"
"dar julii, tahereh mafi"
"ravenor, dan abnett"
"honor's knight, rachel bach"
"frederica, georgette heyer"
"noah primeval, brian godawa"
"martı - jonathan livingston, richard bach"
"han solo at stars' end, brian daley"
"stephen king goes to the movies, stephen king"
"gravity, l.d. cedergreen"
"simply magic, mary balogh"
"the beauty of darkness, mary e. pearson"
"finally, wendy mass"
"bled dry, erin mccarthy"
"the bride wore size 12, meg cabot"
"kafka on the shore, haruki murakami"
"wrapped, jennifer bradbury"
"timepiece, myra mcentire"
"star trek 9, james blish"
"doktor jekyll i pan hyde, robert louis stevenson"
"siren's call, jayne castle"
"the wedding quilt, jennifer chiaverini"
"death masks, jim butcher"
"the seventh gate, margaret weis"
"the sight, erin hunter"
"the accidental bride, denise hunter"
"the charm bracelet, viola shipman"
"the arrangement, mary balogh"
"staked, kevin hearne"
"on dublin street, samantha young"
"bloodstone, karl edward wagner"
"the same last name, kathleen gilles seidel"
"amor amargo, jennifer brown"
"burn, julianna baggott"
"a slice of heaven, sherryl woods"
"damned, chuck palahniuk"
"wanderlust, ann aguirre"
"the red wolf conspiracy, robert v.s. redick"
"the boys from brazil, ira levin"
"7th sigma, steven gould"
"effortless, s.c. stephens"
"somebody else's sky, jessica hawkins"
"the robin & the kestrel, mercedes lackey"
"american street, ibi zoboi"
"the graveyard book, neil gaiman"
"guardians of the west, david eddings"
"green angel, alice hoffman"
"company of liars, karen maitland"
"kisah sang penandai, tere liye"
"divided in death, j.d. robb"
"coyote's mate, lora leigh"
"babe & me, dan gutman"
"beautiful darkness, kami garcia"
"the picture of dorian grey, oscar wilde"
"the fifth head of cerberus, gene wolfe"
"alice im wunderland, lewis carroll"
"lost boys, orson scott card"
"isolation, dan wells"
"the harry potter collection 1-4, j.k. rowling"
"distant dreams, judith pella"
"the unusual suspects, michael buckley"
"three broken promises, monica murphy"
"nana, vol. 4, ai yazawa"
"the beautiful between, alyssa b. sheinmel"
"forever and ever boxed set, e.l. todd"
"finch, jeff vandermeer"
"the oracle glass, judith merkle riley"
"beautiful survivors, c.m. stunich"
"lies jane austen told me, julie wright"
"mistress of the sun, sandra gulland*"
"a rose from the dead, kate collins"
"red lily, nora roberts"
"the many deaths of laila starr, ram v."
"bamboo & lace, lori wick"
"summer with my sisters, holly chamberlin"
"the evil we love, cassandra clare"
"the emerald princess follows a unicorn, jahnna n. malcolm"
"mr. vertigo, paul auster"
"maggie's mistake, carolyn brown"
"make them pay, allison brennan"
"dziedzictwo ognia, sarah j. maas"
"one piece, volume 16, eiichiro oda"
"bad girls with perfect faces, lynn weingarten"
"daemons are forever, simon r. green"
"temptation ridge, robyn carr"
"the sleeping night, barbara samuel"
"rosemarked, livia blackburne"
"berserk, vol. 30, kentaro miura"
"the blood-tainted winter, t.l. greylock"
"now and forever, danielle steel"
"every last breath, jennifer l. armentrout"
"inuyasha, vol. 1, rumiko takahashi"
"the spring girls, anna todd"
"the promise of jenny jones, maggie osborne"
"what happens next, colleen clayton"
"starcrossed, josephine angelini"
"task force one, dixie lynn dwyer"
"diamonds are truly forever, gina robinson"
"magonia, maria dahvana headley"
"apathy, travis bagwell"
"the good girls, sara shepard"
"moon called, patricia briggs"
"19 razy katherine, john green"
"witch child, celia rees"
"the prince of midnight, laura kinsale"
"i have no mouth & i must scream, harlan ellison"
"juliet takes a breath, gabby rivera"
"blackwood farm, anne rice"
"maia, richard adams"
"spring will come, virginia gaffney"
"insatiable, meg cabot"
"cinderella steals home, carly syms"
"crossover, michael jan friedman"
"born to endless night, cassandra clare"
"ex-heroes, peter clines"
"taste of torment, suzanne wright"
"provoked, joanna chambers"
"rise of the defender, kathryn le veque"
"lakeside cottage, susan wiggs"
"grandfather twilight, barbara helen berger"
"the speed of dark, elizabeth moon"
"rebellion, b.v. larson"
"dawn of wonder, jonathan renshaw"
"shadow demons, sarra cannon"
"castle waiting, vol. 1, linda medley"
"hex hall, rachel hawkins"
"folwark zwierzęcy, george orwell"
"death weavers, brandon mull"
"trials of death, darren shan"
"strange weather in tokyo, hiromi kawakami"
"the amulet of samarkand, jonathan stroud"
"i knew you were trouble, lauren layne"
"lady pirate, lynsay sands"
"saga, volume 2, brian k. vaughan"
"everyone's a aliebn when ur a aliebn too, jomny sun"
"sacrifice, lora leigh"
"more than him, jay mclean"
"sweetly, jackson pearce"
"emily of deep valley, maud hart lovelace"
"a hopeless romantic, harriet evans"
"moonlight, rachel hawthorne"
"the jewel princesses and the missing crown, jahnna n. malcolm"
"shakespeare's landlord, charlaine harris"
"the hero and the crown, robin mckinley"
"like a memory, abbi glines"
"paper girls, volume 5, brian k. vaughan"
"what i did for love, susan elizabeth phillips"
"bite me, shelly laurenston"
"the core, peter v. brett"
"la ridícula idea de no volver a verte, rosa montero"
"how to cheat a dragon's curse, cressida cowell"
"tuesday, david wiesner"
"requiem of the rose king, vol. 1, aya kanno"
"the thirteenth fairy, melissa de la cruz"
"a good woman, danielle steel"
"mademoiselle christina, mircea eliade"
"a song of ice and fire, george r.r. martin"
"little do we know, tamara ireland stone"
"felicity, mary oliver"
"the rest of the story, sarah dessen"
"the innkeeper of ivy hill, julie klassen"
"dead center, danielle girard"
"archie (2015-) #1, mark waid"
"perfect state, brandon sanderson"
"inverloch volume 4, sarah ellerton"
"the horsemaster's daughter, susan wiggs"
"fighter, tijan*"
"sunset of the sabertooth, mary pope osborne"
"the avery shaw experiment, kelly oram"
"the grand sophy, georgette heyer"
"home for christmas, melissa mcclone"
"llévame a cualquier lugar, alice kellen"
"the hollow hills, mary stewart"
"flying changes, sara gruen"
"the secret life of violet grant, beatriz williams"
"shattered silk, barbara michaels"
"adventure time, meredith gran"
"the billionaire's secret love, ivy layne"
"married in green, seanan mcguire"
"when heaven weeps, ted dekker"
"how to kill a rock star, tiffanie debartolo"
"the marriage bargain, jennifer probst"
"in the night kitchen, maurice sendak"
"find me, andré aciman"
"ponies, kij johnson"
"darkwing, kenneth oppel"
"the arrangement 10, h.m. ward"
"chilling adventures of sabrina #6, roberto aguirre-sacasa"
"third grave dead ahead, darynda jones"
"a scanner darkly, philip k. dick"
"wintersong, s. jae-jones"
"only mr. darcy will do, kara louise"
"nice girls don't live forever, molly harper"
"la maledizione del titano, rick riordan"
"of men and of angels, bodie thoene"
"lucky star, cathy cassidy"
"hellboy, vol. 3, mike mignola"
"the rogue crew, brian jacques"
"darkness, be my friend, john marsden"
"cautious, e.l. montes"
"the beast, j.r. ward"
"bleach, volume 03, tite kubo"
"sweet tea and sympathy, molly harper"
"a woman named damaris, janette oke"
"house of cards, peter david"
"i belong to you, lisa renee jones"
"until you, penelope douglas"
"sleeping with her enemy, jenny holiday"
"big girl panties, stephanie evanovich"
"siren's song, ella summers"
"halo, tobias s. buckell"
"destroyed, pepper winters"
"the shivering sands, victoria holt"
"the wicked + the divine #8, kieron gillen"
"the monster garden, vivien alcock"
"the forgotten ones, pittacus lore"
"the calcutta chromosome, amitav ghosh"
"neferet's curse, p.c. cast"
"the death and life of charlie st. cloud, ben sherwood"
"seven nights in a rogue's bed, anna campbell"
"burn for me, ilona andrews"
"the unbroken line of the moon, johanne hildebrandt"
"dr. seuss's abc, dr. seuss"
"razer's ride, jamie begley"
"the border, robert mccammon"
"bitter of tongue, cassandra clare"
"these three remain, pamela aidan"
"perdona si te llamo amor, federico moccia"
"breathing, cheryl renee herbsman"
"the emerald atlas, john stephens"
"nightwood, djuna barnes"
"kingdom of the wicked, derek landy"
"a tale of witchcraft..., chris colfer"
"jude's law, lori foster"
"hide and seek, sara shepard"
"mistress of the empire, raymond e. feist"
"the princess and the pea, janet stevens"
"snakes and ladders, seanan mcguire"
"cry wolf, tami hoag"
"#blur, cambria hebert"
"own the wind, kristen ashley"
"the wish list, eoin colfer"
"cosmonaut keep, ken macleod"
"table for five, susan wiggs"
"enchantment, orson scott card"
"fantomina; or, love in a maze, eliza haywood"
"the buried giant, kazuo ishiguro"
"falling under, jasinda wilder"
"the chrysalids, john wyndham"
"neonomicon, alan moore"
"first you run, roxanne st. claire"
"one snowy night, jill shalvis"
"her grave secrets, kendra elliot"
"the newsmakers, lis wiehl"
"rock the heart, michelle a. valentine"
"eva luna, isabel allende"
"beautiful demons, sarra cannon"
"playing with monsters, amelia hutchins"
"posdata, cecelia ahern"
"wolfskin, juliet marillier"
"seer of sevenwaters, juliet marillier"
"a perfect proposal, katie fforde"
"the bookshop on the corner, jenny colgan"
"the healer, antti tuomainen"
"troublemaker, linda howard"
"where the crawdads sing, delia owens"
"cloudy with a chance of meatballs, judi barrett"
"we can remember it for you wholesale, philip k. dick"
"the darkest promise, gena showalter"
"gone too far, natalie d. richards"
"the lost gate, orson scott card"
"best kept secrets, sandra brown"
"gods behaving badly, marie phillips"
"roar and liv, veronica rossi"
"fire in his kiss, ruby dixon"
"the other gods, h.p. lovecraft"
"alien hunter, james patterson"
"the tombs of atuan, ursula k. le guin"
"lacci, domenico starnone"
"someone else's shoes, jojo moyes"
"siła niższa, marta kisiel"
"symptoms of being human, jeff garvin"
"the maze of the beast, emily rodda"
"edge of midnight, shannon mckenna"
"the legion of flame, anthony ryan"
"sentinel, jennifer l. armentrout"
"the duchess deal, tessa dare"
"the scarecrow of oz, l. frank baum"
"the boat builder's bed, kris pearson"
"first blood, susan sizemore"
"késtél, laura leiner"
"love unrehearsed, tina reber"
"the neon court, kate griffin"
"die elite, kiera cass"
"murder game, christine feehan"
"once more, my darling rogue, lorraine heath"
"una apuesta indecente, emma wildes"
"millennium snow, vol. 2, bisco hatori"
"sever, lauren destefano"
"from the corner of his eye, dean koontz"
"wanted, matsuri hino"
"affair, amanda quick"
"pen pals, olivia goldsmith"
"the dead path, stephen m. irwin"
"what it means when a man falls from the sky, lesley nneka arimah"
"a week in winter, maeve binchy"
"blane's turn, tiffany snow"
"et si c'était vrai..., marc levy"
"a paris apartment, michelle gable"
"merciless gods, christos tsiolkas"
"the hidden gallery, maryrose wood"
"loving eleanor, susan wittig albert"
"the trouble with flirting, claire lazebnik"
"sweet tooth, jeff lemire"
"orbit, john j. nance"
"pebble in the sky, isaac asimov"
"nauti deceptions, lora leigh"
"hitty, her first hundred years, rachel field"
"sweet tooth, vol. 5, jeff lemire"
"path of honor, diana pharaoh francis"
"berserk, vol. 20, kentaro miura"
"crossroads in time, sarah woodbury"
"one starry night, olivia cunning"
"ruin and rising, leigh bardugo"
"the conqueror worms, brian keene"
"the bright sword, lev grossman"
"dare truth or promise, paula boock"
"redeemed, p.c. cast"
"players, bumps and cocktail sausages, natasha preston"
"double down, katie porter"
"obsidio, amie kaufman"
"twilight, young kim"
"gone, lisa mcmann"
"the rainbow goblins, ul de rico"
"the shadow cipher, laura ruby"
"the princess in black and the hungry bunny horde, shannon hale"
"the scam, janet evanovich"
"beast, lisa jensen"
"frontier justice, arthur t. bradley"
"vampire knight, vol. 9, matsuri hino"
"ten big ones, janet evanovich"
"death note, vol. 6, tsugumi ohba"
"relentless, cassia leo"
"six impossible things, elizabeth boyle"
"tik-tok of oz, l. frank baum"
"text 2 lovers, k. webster"
"uhura's song, janet kagan"
"the blood of flowers, anita amirrezvani"
"dark legend, christine feehan"
"sweet little lies, abbi glines"
"grasshopper jungle, andrew smith"
"(watch me) break you, avril ashton"
"eleven minutes, paulo coelho"
"maids of misfortune, m. louisa locke"
"the graces, laure eve"
"moonlight on nightingale way, samantha young"
"farthing, jo walton"
"china rich girlfriend, kevin kwan"
"the dispatcher, john scalzi"
"the hard count, ginger scott"
"the hollow ones, guillermo del toro"
"god of war, matthew woodring stover"
"royal blood, ellen schreiber"
"pretend you're mine, lucy score"
"she can tell, melinda leigh"
"knit the season, kate jacobs"
"jack of fables, vol. 1, bill willingham"
"drowning erin, elizabeth o'roark"
"a cure for suicide, jesse ball"
"paladin of souls, lois mcmaster bujold"
"the stars, like dust, isaac asimov"
"spymaster, margaret weis"
"the human division, john scalzi"
"descent, jay bonansinga"
"the magic faraway tree, enid blyton"
"later gator, jana deleon"
"envy, j.r. ward"
"the savior, j.r. ward"
"hidden enemy, pittacus lore"
"lawless, t.m. frazier"
"hag-seed, margaret atwood"
"growing season, melanie lageschulte"
"ruins, orson scott card"
"bridget jones, helen fielding"
"the map to everywhere, carrie ryan"
"the young world, chris weitz"
"hidden away, maya banks"
"johnny and the dead, terry pratchett"
"best laid plans, allison brennan"
"the october country, ray bradbury"
"next to never, penelope douglas"
"a cajun werewolf christmas, selena blake"
"surrender to the cyborgs, grace goodwin"
"cryptonomicon, neal stephenson"
"the perfect gift, serenity woods"
"my unexpected forever, heidi mclaughlin"
"house, frank e. peretti"
"the games gods play, abigail owen"
"caressed by ice, nalini singh"
"the fifty year sword, mark z. danielewski"
"stories, neil gaiman"
"sent, margaret peterson haddix"
"check & mate, ali hazelwood"
"the darkest whisper, gena showalter"
"the lady of shalott, alfred tennyson"
"lover unbound, j.r. ward"
"love me forever, johanna lindsey"
"sea swept, nora roberts"
"the odds of lightning, jocelyn davies"
"sweet peril, wendy higgins"
"millie's second chance, dixie lynn dwyer"
"she felt like feeling nothing (volume 1), r.h. sin"
"death, taxes, and a skinny no-whip latte, diane kelly"
"pulse, jeremy robinson"
"evening class, maeve binchy"
"a crimson warning, tasha alexander"
"notorious royal marriages, leslie carroll"
"dark warrior's legacy, i.t. lucas"
"ignite, sara b. larson"
"the mulberry tree, jude deveraux"
"attack on titan, vol. 2, hajime isayama"
"the house, christina lauren"
"paper girls, volume 1, brian k. vaughan"
"wicked sacrifice, lora leigh"
"promise of the wolves, dorothy hearst"
"naughty boss, whitney g."
"lovely trigger, r.k. lilley"
"heartless hunter, kristen ciccarelli"
"one piece, volume 34, eiichiro oda"
"the christmas shoes, donna vanliere"
"jumping jude, lucy lennox"
"luxe two, ashley antoinette"
"for my daughters, barbara delinsky"
"broken heart club, cathy cassidy"
"boating for beginners, jeanette winterson"
"magic to the bone, devon monk"
"spark, brigid kemmerer"
"meridon, philippa gregory"
"sunset embrace, sandra brown"
"an ice cold grave, charlaine harris"
"deceived, irene hannon"
"the sugar camp quilt, jennifer chiaverini"
"smoke & mirrors, charlie cochet"
"a little something different, sandy hall"
"the welcoming, nora roberts"
"the singles game, lauren weisberger"
"angel, sarah brianne"
"the summoning, kelley armstrong"
"the silence of trees, valya dudycz lupescu"
"weight, jeanette winterson"
"replica, lauren oliver"
"the ghost hunter next door, danielle garrett"
"iron fist, aaron allston"
"bedknob and broomstick, mary norton"
"happily ever after, kiera cass"
"lord of the butterflies, andrea gibson"
"in five years, rebecca serle"
"the dunwich horror and other stories, h.p. lovecraft"
"magic mourns, ilona andrews"
"the dragonlover's guide to pern, jody lynn nye"
"the ideal wife, mary balogh"
"the christmas mystery, jostein gaarder"
"this world we live in, susan beth pfeffer"
"miss fix-it, emma hart"
"rip tide, kat falls"
"wolf captured, jane lindskold"
"emily climbs, l.m. montgomery"
"earth is room enough, isaac asimov"
"99 coffins, david wellington"
"akira, vol. 6, katsuhiro otomo"
"false gods, graham mcneill"
"dark storm, christine feehan"
"madame bovary, gustave flaubert"
"a face in the crowd, stephen king"
"the rose revived, katie fforde"
"pleasure of a dark prince, kresley cole"
"staking his claim, lynda chance"
"in real life, jessica love"
"when it happens, susane colasanti"
"zero at the bone, jane seville"
"chibi vampire, vol. 13, yuna kagesaki"
"one to protect, tia louise"
"so close, sylvia day"
"second kiss, natalie palmer"
"impulse, dannika dark"
"beyond the dark, angela knight"
"daughter of darkness, v.c. andrews"
"the empress of salt and fortune, nghi vo"
"bluets, maggie nelson"
"the art of starving, sam j. miller"
"amelia, diana palmer"
"night shift, stephen king"
"enchanted glass, diana wynne jones"
"capturing the devil, kerri maniscalco"
"the deed of paksenarrion, elizabeth moon"
"scion of ikshvaku, amish tripathi"
"johannes cabal the necromancer, jonathan l. howard"
"how do dinosaurs say good night?, jane yolen"
"usher's passing, robert mccammon"
"mambo in chinatown, jean kwok"
"the prophet of yonwood, jeanne duprau"
"from the ashes, c.j. archer"
"finding pride, jill sanders"
"fighting to survive, rhiannon frater"
"morning glories, vol. 2, nick spencer"
"maggie's turn, deanna lynn sletten"
"the lost language of cranes, david leavitt"
"breath of scandal, sandra brown"
"borrowed ember, samantha young"
"tangle of need, nalini singh"
"the hourglass door, lisa mangum"
"onyx and ivory, mindee arnett"
"how to train your dragon, cressida cowell"
"dark notes, pam godwin"
"black swan affair, k.l. kreig"
"a cliché christmas, nicole deese"
"el mundo de sofía, jostein gaarder"
"getting rowdy, lori foster"
"my not so perfect life, sophie kinsella"
"you say it first, susan mallery"
"under a duke's hand, annabel joseph"
"finding cassie crazy, jaclyn moriarty"
"lady cottington's pressed fairy book, terry jones"
"titus groan, mervyn peake"
"vampire academy, leigh dragoon"
"fables, vol. 19, bill willingham"
"happy birthday to you!, dr. seuss"
"a lesson in truth, sloan parker"
"green eyes, karen robards"
"imogene's antlers, david small"
"either side of midnight, tori de clare"
"sea glass, anita shreve"
"talking to dragons, patricia c. wrede"
"quests for glory, soman chainani"
"irresistible, karen robards"
"anything he wants 2, sara fawkes"
"fortune's rocks, anita shreve"
"tales of the greek heroes, roger lancelyn green"
"foul heart huntsman, chloe gong"
"trust in advertising, victoria michaels"
"werewolf smackdown, mario acevedo"
"balthazar, claudia gray"
"black paradox, junji ito"
"the girl i was before, ginger scott"
"storm born, richelle mead"
"follow, tessa bailey"
"the league of extraordinary gentlemen, alan moore"
"death match, lincoln child"
"adam, ariel schrag"
"ein tanz mit drachen, george r.r. martin"
"as duas torres, j.r.r. tolkien"
"the classic horror stories, h.p. lovecraft"
"star wars, jason fry"
