Title,Author,Rating,User_id,isbn,num_ratings,avg_rating,num_pages,review,date_started,date_read,date_added,format,date_pub_edition
Don't Believe Her,"Sanders, Nicola*",Invalid rating,107278034,1763659917,"21,776",4.02,302pp,None,not set,not set,"Sep 13, 2024",Kindle Edition,"Sep 03, 2024"
The Perfect Match,"Smith, Dandy*",Invalid rating,107278034,,"9,557",3.79,309pp,None,not set,not set,"Sep 08, 2024",Kindle Edition,"Nov 29, 2022"
One Small Mistake,"Smith, Dandy*",Invalid rating,107278034,,"22,947",4.24,420pp,None,not set,not set,"Aug 27, 2024",Kindle Edition,"Dec 01, 2021"
The Widow's Husband's Secret Lie,"McFadden, Freida*",1,107278034,,"105,812",3.35,152pp,None,not set,not set,"Aug 14, 2024",Kindle Edition,"Aug 12, 2024"
The Wrong Daughter,"Smith, Dandy*",Invalid rating,107278034,1471414639,"51,884",4.01,353pp,None,not set,not set,"Aug 13, 2024",Kindle Edition,"Feb 08, 2024"
"The Doctor's Child
        (The Doctor's Wife, #4)","Hurst, Daniel*",Invalid rating,107278034,183525604X,"6,652",4.14,248pp,None,not set,not set,"Aug 03, 2024",Kindle Edition,"May 01, 2024"
"The Doctor's Mistress
        (The Doctor's Wife, #3)","Hurst, Daniel*",Invalid rating,107278034,1835250874,"9,164",4.07,234pp,None,not set,not set,"Jul 22, 2024",Kindle Edition,"Dec 06, 2023"
"The Doctor's Widow
        (The Doctor's Wife, #2)","Hurst, Daniel*",Invalid rating,107278034,1837908257,"11,992",3.96,236pp,None,not set,not set,"Jul 15, 2024",Kindle Edition,"Aug 23, 2023"
"The Doctor’s Wife
        (The Doctor's Wife, #1)","Hurst, Daniel*",Invalid rating,107278034,180314940X,"27,888",3.90,255pp,None,not set,not set,"Jul 10, 2024",Kindle Edition,"Jan 31, 2023"
"The Devil You Know
        (Dr. Jane McGill, #2)","McFadden, Freida*",Invalid rating,107278034,,"24,648",3.87,355pp,None,not set,not set,"Jul 03, 2024",Kindle Edition,"May 28, 2017"
Don't Let Her Stay,"Sanders, Nicola*",Invalid rating,107278034,,"220,674",3.95,288pp,None,not set,not set,"Jun 24, 2024",Kindle Edition,"Feb 09, 2023"
"The Housemaid Is Watching
        (The Housemaid, #3)","McFadden, Freida*",Invalid rating,107278034,183525229X,"682,005",3.88,402pp,None,not set,not set,"Jun 21, 2024",Kindle Edition,"Jun 11, 2024"
"The Devil Wears Scrubs
        (Dr. Jane McGill, #1)","McFadden, Freida*",Invalid rating,107278034,,"61,088",3.45,308pp,None,not set,not set,"Jun 16, 2024",Kindle Edition,"Dec 15, 2013"
The Surrogate,"McFadden, Freida*",Invalid rating,107278034,,"148,056",4.01,342pp,None,not set,not set,"Jun 08, 2024",Kindle Edition,"Oct 10, 2018"
The Locked Door,"McFadden, Freida*",5,107278034,,"503,884",4.00,313pp,Loved itAnother awesome book from Freida McFadden! I am loving her books and can’t wait to read the next one. I definitely recommend this book.,not set,"Apr 13, 2024","Apr 13, 2024",Kindle Edition,"Jun 01, 2021"
The Ex,"McFadden, Freida*",Invalid rating,107278034,,"127,467",3.91,347pp,None,not set,not set,"Mar 18, 2024",Kindle Edition,"Feb 18, 2019"
The Teacher,"McFadden, Freida*",5,107278034,,"766,677",3.91,362pp,None,not set,not set,"Mar 09, 2024",Kindle Edition,"Feb 06, 2024"
One by One,"McFadden, Freida*",Invalid rating,107278034,,"350,314",3.87,295pp,None,not set,not set,"Mar 01, 2024",Kindle Edition,"Jul 13, 2020"
The Perfect Son,"McFadden, Freida*",5,107278034,,"391,593",4.02,373pp,"Awesome!Another great book by Freida McFadden, I am addicted to her books!! Can not wait to read the next one.",not set,"Feb 23, 2024","Feb 23, 2024",Kindle Edition,"Oct 08, 2019"
The Inmate,"McFadden, Freida*",5,107278034,,"835,874",4.02,388pp,None,not set,"Jan 20, 2024","Jan 20, 2024",Kindle Edition,"Jun 13, 2022"
Husband Hunting with Confidance,"Shevket, Fidan*",5,107278034,,"1,027",3.67,704pp,None,not set,"Jan 03, 2024","Jan 03, 2024",Kindle Edition,"Oct 19, 2023"
"Harry Potter and the Order of the Phoenix
        (Harry Potter, #5)","Rowling, J.K.",5,107278034,,"3,651,727",4.50,815pp,None,not set,"Aug 13, 2020","Aug 13, 2020",ebook,"Dec 08, 2015"
"Atlas: The Story of Pa Salt
        (The Seven Sisters #8)","Riley, Lucinda",5,107278035,1529043557,"76,275",4.51,700pp,None,not set,"Jun 10, 2023","Jun 10, 2023",Kindle Edition,"May 11, 2023"
"Me Before You
        (Me Before You, #1)","Moyes, Jojo*",5,107278035,0670026603,"1,747,828",4.26,369pp,None,not set,not set,"Dec 24, 2019",Hardcover,"Dec 31, 2012"
The Diary of a Young Girl,"Frank, Anne",5,107278035,,"4,027,325",4.20,283pp,None,not set,not set,"Dec 24, 2019",Mass Market Paperback,Jul 1993
Dead Men's Silver: The Story of Australia's Greatest Shipwreck Hunter,"Edwards, Hugh",3,107278043,,48,3.96,434pp,None,not set,"Jan 18, 2021","Jan 18, 2021",Kindle Edition,"Dec 01, 2011"
"The Train Journey: Transit, Captivity, and Witnessing in the Holocaust
        (War and Genocide Book 13)","Gigliotti, Simone",3,107278043,,36,3.89,405pp,None,not set,"Jan 26, 2020","Jan 26, 2020",Kindle Edition,"Jul 01, 2009"
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","Housel, Morgan",5,107278044,6555111151,"270,804",4.29,265pp,None,"Dec 29, 2024","Dec 31, 2024","Dec 29, 2024",Kindle Edition,"Mar 12, 2021"
Oito Assassinatos Perfeitos,"Swanson, Peter*",4,107278044,6556220264,"89,510",3.63,312pp,None,"Nov 18, 2024","Nov 30, 2024","Nov 18, 2024",Paperback,Mar 2022
Leitura de Verão,"Henry, Emily*",4,107278044,6559240630,"1,454,962",3.99,364pp,None,"Nov 03, 2024","Nov 17, 2024","Nov 03, 2024",Paperback,"Jun 06, 2022"
One by One,"Ware, Ruth*",3,107278044,,"210,271",3.73,372pp,None,"Mar 29, 2024","Sep 03, 2024","Feb 24, 2024",Hardcover,"Sep 08, 2020"
A estranha Sally Diamond,"Nugent, Liz*",4,107278044,6555878657,"143,090",4.16,398pp,None,"Feb 17, 2024","Feb 19, 2024","Feb 17, 2024",Kindle Edition,"Nov 20, 2023"
Alguém que você conhece,"Lapena, Shari*",4,107278044,6555875704,"146,200",3.91,320pp,None,"Dec 29, 2023","Feb 11, 2024","Dec 29, 2023",Paperback,"Aug 28, 2022"
Trinta segundos sem pensar no medo: Memórias de um leitor,"Pacifico, Pedro",5,107278044,,"1,094",4.18,170pp,None,"Dec 27, 2023","Dec 28, 2023","Dec 27, 2023",Kindle Edition,"Aug 02, 2023"
Nada pode me ferir,"Goggins, David*",5,107278044,6555646144,"287,538",4.30,419pp,None,"Dec 15, 2023","Dec 29, 2023","Dec 15, 2023",Kindle Edition,"Apr 11, 2023"
We Were Liars,"Lockhart, E.*",3,107278044,,"1,249,207",3.66,280pp,None,"Jul 14, 2023","Jul 14, 2023","Jul 14, 2023",Paperback,"May 29, 2018"
"Caderno de um Ausente
        (Trilogia do Adeus, #1)","Carrascoza, João Anzanello",4,107278044,8540506556,856,4.22,128pp,None,May 2023,"May 22, 2023","May 01, 2023",Paperback,"Apr 01, 2014"
As Musas,"Michaelides, Alex*",4,107278044,6555872454,"406,673",3.62,350pp,None,"Apr 16, 2023",May 2023,"Apr 16, 2023",Paperback,"Sep 06, 2021"
Um homem chamado Ove,"Backman, Fredrik*",5,107278044,6555323205,"1,146,400",4.38,320pp,None,"Mar 14, 2023","Apr 15, 2023","Mar 14, 2023",Paperback,"Jan 20, 2023"
O Homem Mais Rico da Babilônia,"Clason, George S.",5,107278044,8595081530,"230,694",4.23,160pp,Livro muito bom e leitura fluída.,"Jan 02, 2023","Jan 04, 2023","Jan 02, 2023",Paperback,"Jan 01, 2017"
A Biblioteca da Meia-Noite,"Haig, Matt*",5,107278044,989564518X,"2,210,814",3.98,335pp,None,"Jun 24, 2022","Jun 27, 2022","Jun 24, 2022",Paperback,"May 31, 2021"
Flores para Algernon,"Keyes, Daniel",4,107278044,846751146X,"751,693",4.23,299pp,None,"Jul 25, 2022","Sep 06, 2022","Jun 18, 2022",Paperback,"Dec 31, 1999"
O Filho de Mil Homens,"Mãe, Valter Hugo",2,107278044,9896721076,"9,908",4.31,258pp,None,"Sep 10, 2022","Dec 31, 2022","May 08, 2022",Paperback,Sep 2011
Brava Serena,"Krause, Eduardo",5,107278044,8561249668,207,4.20,274pp,None,"May 28, 2022","Jun 06, 2022","May 08, 2022",Kindle Edition,"Sep 13, 2018"
A pediatra,"Fuego, Andréa del",3,107278044,655921348X,"6,559",3.93,160pp,None,"Feb 24, 2022","Mar 19, 2022","Feb 24, 2022",Paperback,"Oct 04, 2021"
Gostaria que você estivesse aqui,"Scheller, Fernando",5,107278044,6555111402,850,4.24,320pp,None,"Jan 23, 2022","Feb 13, 2022","Jan 23, 2022",Paperback,"May 01, 2021"
O avesso da pele,"Tenório, Jeferson",5,107278044,8535933395,"11,219",4.54,192pp,None,"Jan 16, 2022","Jan 21, 2022","Dec 28, 2021",Paperback,"Aug 10, 2020"
Sociedade do Cansaço,"Han, Byung-Chul",3,107278044,853265083X,"22,454",3.88,92pp,None,"Jan 22, 2022","Jan 23, 2022","Nov 06, 2021",Kindle Edition,"Nov 26, 2015"
A Lista de Convidados,"Foley, Lucy*",3,107278044,,"1,189,728",3.80,301pp,None,"Apr 03, 2022","Jan 29, 2023","Oct 12, 2021",Hardcover,2021
Torto Arado,"Junior, Itamar Vieira*",4,107278044,9896605777,"27,244",4.46,280pp,None,"Apr 03, 2021","Jun 03, 2021","Apr 03, 2021",Paperback,Feb 2019
Saga e Mito,"Hermann, Rolf Botho",5,107278044,,1,5.00,116pp,None,"Dec 15, 2020not set","Jan 12, 2021not set","Jan 12, 2021",Paperback,unknown
Pequeno Manual Antirracista,"Ribeiro, Djamila",5,107278044,8535932879,"7,235",4.54,136pp,None,"Dec 28, 2020","Dec 28, 2020","Dec 28, 2020",Paperback,"Nov 06, 2019"
A Revolução dos Bichos,"Orwell, George",5,107278044,8535909559,"4,285,443",4.00,147pp,None,not set,Jan 2020,"Dec 27, 2020",Paperback,"Jan 10, 2007"
Minha Vida,"Oliveira, Maria Valentina de",5,107278044,,1,5.00,unknown,None,not setnot set,Jan 2020not set,"Nov 24, 2020",,unknown
Me Encontre,"Aciman, André*",3,107278044,8551005820,"81,891",3.26,272pp,None,"Nov 09, 2020","Nov 23, 2020","Nov 09, 2020",Paperback,"Oct 29, 2019"
Memórias de um sargento de milícias,"Almeida, Manuel Antônio de",Invalid rating,107278044,0850515041,"6,857",3.47,168pp,None,not set,Jan 2011,"Aug 20, 2020",Paperback,"Feb 04, 2005"
O Cortiço,"Azevedo, Aluísio",Invalid rating,107278044,8574805793,"15,346",3.90,384pp,None,not set,Jan 2011,"Aug 20, 2020",Paperback,2012
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,"Rosling, Hans",4,107278044,1473637465,"195,620",4.36,342pp,None,"Aug 02, 2020","Oct 25, 2020","Aug 02, 2020",Hardcover,"Apr 03, 2018"
A Paciente Silenciosa,"Michaelides, Alex*",4,107278044,850111653X,"2,896,451",4.17,367pp,None,"Jul 13, 2020","Jul 26, 2020","Jul 13, 2020",Kindle Edition,"May 13, 2019"
A última festa,"Foley, Lucy*",5,107278044,8551005723,"335,635",3.61,304pp,None,"Jun 04, 2021","Nov 06, 2021","May 16, 2020",Paperback,Dec 2019
As sobreviventes,"Sager, Riley*",3,107278044,,"234,770",3.82,427pp,None,"Apr 13, 2020","Dec 27, 2020","Apr 13, 2020",Kindle Edition,"Aug 20, 2017"
Nascido do crime,"Noah, Trevor",5,107278044,8576868016,"767,717",4.49,336pp,"A narrativa de Trevor é cativante desde o início. O livro permite acompanhar a vida de Trevor, mas também leva a conhecer mais como funcionou o aparthA narrativa de Trevor é cativante desde o início. O livro permite acompanhar a vida de Trevor, mas também leva a conhecer mais como funcionou o apartheid e o que isso gerou na África do Sul. Recomendo!...more","Oct 25, 2020","Nov 30, 2020","Apr 13, 2020",Paperback,Jan 2020
Como as democracias morrem,"Levitsky, Steven",4,107278044,8537818054,"29,375",4.16,366pp,None,"Jun 07, 2020","Jul 25, 2020","Apr 07, 2020",Kindle Edition,"Sep 20, 2018"
Do lado de dentro do mar,"Stoll, Daniela*",5,107278044,858297583X,8,4.62,164pp,None,"Mar 28, 2020","Mar 30, 2020","Mar 28, 2020",Paperback,2018
Recursão,"Crouch, Blake*",4,107278044,8551005367,"282,479",4.17,320pp,None,"Apr 06, 2020not set","Apr 06, 2020not set","Mar 08, 2020",Hardcover,"Jan 10, 2020"
O jogo da mentira,"Ware, Ruth*",4,107278044,,"204,535",3.52,352pp,None,"Mar 26, 2020","Mar 28, 2020","Feb 15, 2020",ebook,"Aug 05, 2019"
Do mil ao milhão: Sem cortar o cafezinho,"Nigro, Thiago",4,107278044,8595084424,"1,785",3.91,285pp,None,"Sep 25, 2021","Sep 25, 2021","Feb 15, 2020",Kindle Edition,"Nov 01, 2018"
Seja Foda!,"Carneiro, Caio",4,107278044,8593156290,"1,169",3.29,208pp,None,"Feb 15, 2020","Feb 29, 2020","Feb 15, 2020",Paperback,2017
Arrume a sua cama: Pequenas coisas que podem mudar a sua vida... E talvez o mundo,"McRaven, William H.",5,107278044,8542211707,"148,901",4.01,96pp,None,not set,not set,"Jan 01, 2020",Kindle Edition,"Aug 03, 2017"
ESTUDA QUE A VIDA MUDA: Ajudando a Mudar o Destino de Uma Geração,"Oliveira, Alex",5,107278044,,155,3.66,108pp,None,not set,not set,"Dec 31, 2019",Kindle Edition,"Jan 22, 2018"
Um Livro Para Ser Entendido,"HMC, Pedro",Invalid rating,107278044,8542207947,78,3.97,240pp,None,not set,not set,"Dec 24, 2019",Paperback,2016
Me Poupe! 10 passos para nunca mais faltar dinheiro no seu bolso,"Arcuri, Nathalia",Invalid rating,107278044,854310582X,"2,585",3.95,162pp,None,not set,not set,"Dec 24, 2019",Kindle Edition,"May 18, 2018"
"Adeus, China","Li, Cunxin",5,107278044,8576761807,"32,010",4.14,400pp,None,not set,not set,"Dec 24, 2019",Paperback,2007
A última mentira que contei,"Sager, Riley*",5,107278044,,"195,124",4.02,352pp,None,not set,not set,"Dec 24, 2019",ebook,"Sep 15, 2019"
The Untethered Soul: The Journey Beyond Yourself,"Singer, Michael A.*",Invalid rating,107278046,1608820491,"131,335",4.21,314pp,None,not set,not set,"Oct 08, 2021",Kindle Edition,"Oct 03, 2007"
Return from Tomorrow,"Ritchie, George G.",Invalid rating,107278046,1441200088,"4,283",4.29,145pp,None,"Jul 17, 2021","Jul 30, 2021","Jan 28, 2020",Kindle Edition,"Sep 01, 2007"
Birthday Girl,"Douglas, Penelope*",4,107278051,,"429,414",3.93,349pp,None,"May 02, 2025","May 20, 2025","May 02, 2025",ebook,"Apr 17, 2018"
"The Queen Will Rise
        (Vampire Royals #2)","Niehoff, Marie*",5,107278051,349901176X,"4,443",3.86,464pp,None,"Apr 28, 2025","May 02, 2025","Apr 28, 2025",Paperback,"Jan 30, 2024"
Das Flüstern der Feigenbäume,"Shafak, Elif*",5,107278051,3036958630,"140,796",4.15,448pp,None,"Apr 20, 2025","May 04, 2025","Apr 20, 2025",Hardcover,"Oct 05, 2021"
Bad Vibes: Deine Geheimnisse sterben nie,"Iosivoni, Bianca*",5,107278051,3641287510,468,4.43,721pp,None,"Mar 13, 2025","Mar 23, 2025","Mar 13, 2025",Kindle Edition,"Feb 19, 2025"
Der verschwundene Buchladen,"Woods, Evie*",3,107278051,3985852111,"271,511",4.02,464pp,None,"Mar 07, 2025",May 2025,"Mar 07, 2025",Paperback,"Sep 02, 2024"
Und alle so still,"Fallwickl, Mareike",5,107278051,3644013381,"3,506",4.29,356pp,None,"Feb 21, 2025","Mar 02, 2025","Feb 09, 2025",Kindle Edition,"Apr 16, 2024"
Die schönste Version,"Thomas, Ruth-Maria",4,107278051,3644019797,"7,956",4.31,265pp,None,Mar 2025,"Mar 30, 2025","Feb 09, 2025",Kindle Edition,"Jul 16, 2024"
"Bride
        (Bride, #1)","Hazelwood, Ali*",4,107278051,,"554,687",3.99,410pp,None,"Feb 28, 2025","Mar 13, 2025","Feb 09, 2025",Kindle Edition,"Feb 06, 2024"
Frau Komachi empfiehlt ein Buch,"Aoyama, Michiko",4,107278051,3644014736,"90,986",4.06,278pp,None,"Feb 08, 2025","Feb 15, 2025","Feb 08, 2025",Kindle Edition,"Jul 18, 2023"
"Wisteria
        (Belladonna, #3)","Grace, Adalyn*",3,107278051,0316569380,"33,142",4.24,419pp,None,"Mar 23, 2025","Apr 17, 2025","Feb 08, 2025",Hardcover,"Aug 20, 2024"
"Today I'll Steal His Heart
        (Die Today-Reihe, #2)","Wege, Bianca",3,107278051,3401810952,"1,313",4.18,415pp,None,"Jan 23, 2025","Mar 07, 2025","Jan 23, 2025",Kindle Edition,"Oct 11, 2024"
"Onyx Storm
        (The Empyrean, #3)","Yarros, Rebecca*",5,107278051,1649374186,"1,163,287",4.22,527pp,None,"Jan 22, 2025","Feb 08, 2025","Jan 22, 2025",Hardcover,"Jan 21, 2025"
"Frost und Flammen
        (Die Wortweberin, #3)","Zeißler, Elvira*",5,107278051,,533,3.55,428pp,None,"Jan 13, 2025","Jan 21, 2025","Jan 13, 2025",Kindle Edition,"Nov 26, 2024"
"Geheimnisse und Glut
        (Die Wortweberin, #2)","Zeißler, Elvira*",5,107278051,,798,4.17,399pp,None,"Jan 05, 2025","Jan 13, 2025","Jan 05, 2025",Kindle Edition,"Jul 30, 2024"
"Schall und Schein
        (Die Wortweberin, #1)","Zeißler, Elvira*",5,107278051,,"1,055",4.07,392pp,None,"Dec 28, 2024","Jan 05, 2025","Dec 30, 2024",Kindle Edition,"Mar 04, 2024"
"Today I'll Talk to Him
        (Die Today-Reihe, #1)","Wege, Bianca",4,107278051,3401810642,"4,371",3.74,364pp,None,"Dec 27, 2024","Jan 23, 2025","Dec 27, 2024",Kindle Edition,"Oct 12, 2023"
"Foxglove
        (Belladonna, #2)","Grace, Adalyn*",4,107278051,0316565253,"62,340",4.12,465pp,None,"Dec 20, 2024","Dec 29, 2024","Dec 20, 2024",Hardcover,"Aug 22, 2023"
"Belladonna
        (Belladonna, #1)","Grace, Adalyn*",5,107278051,0316158232,"152,260",3.97,409pp,None,"Dec 13, 2024","Dec 20, 2024","Dec 13, 2024",Hardcover,"Aug 30, 2022"
"House of Destiny: Zeit tötet immer
        (Zodiac-Chroniken, #2)","Woolf, Marah*",5,107278051,,787,4.37,560pp,None,"Nov 19, 2024","Dec 06, 2024","Nov 19, 2024",Kindle Edition,"Nov 19, 2024"
"Die Wut, die bleibt","Fallwickl, Mareike",5,107278051,3498002961,"8,945",4.29,384pp,None,Nov 2024,"Nov 10, 2024","Nov 01, 2024",Hardcover,"Mar 22, 2022"
"Von der Kunst, das Leben leicht zu nehmen: Wie wir Herausforderungen gelassen begegnen | 35 Stories über Gelassenheit und Leichtigkeit","Ritter, Marie Luise",5,107278051,3492608604,707,4.36,267pp,None,"Oct 29, 2024","Nov 09, 2024","Oct 29, 2024",Kindle Edition,"Jun 27, 2024"
"Final Offer
        (Dreamland Billionaires, #3)","Asher, Lauren*",4,107278051,172827222X,"285,878",4.20,583pp,None,"Oct 07, 2024","Oct 27, 2024","Oct 07, 2024",Paperback,"Jan 31, 2023"
"Terms and Conditions
        (Dreamland Billionaires, #2)","Asher, Lauren*",5,107278051,1737507722,"434,153",4.09,494pp,None,"Sep 13, 2024","Oct 07, 2024","Sep 13, 2024",Kindle Edition,Dec 2022
"The Fine Print
        (Dreamland Billionaires, #1)","Asher, Lauren*",4,107278051,1737507714,"617,897",3.82,448pp,None,"Aug 26, 2024","Sep 13, 2024","Aug 26, 2024",Paperback,Dec 2022
Wir treffen uns im nächsten Kapitel: Roman,"Bickers, Tessa*",4,107278051,3426448262,"11,685",3.62,357pp,None,"Aug 26, 2024","Sep 18, 2024","Aug 26, 2024",Kindle Edition,"Aug 01, 2024"
Kein Sommer ohne Dich,"Henry, Emily*",4,107278051,3426525194,"1,432,610",3.85,400pp,None,"Aug 13, 2024","Aug 26, 2024","Aug 13, 2024",Paperback,"Jul 01, 2022"
"Vengeance
        (Academy of Dream Analysis, #1)","Braun, Ruby",4,107278051,3958188044,"4,348",3.97,448pp,None,"Aug 06, 2024","Aug 26, 2024","Aug 06, 2024",Kindle Edition,"Mar 01, 2024"
Echtzeitalter,"Schachinger, Tonio",5,107278051,,"4,487",3.94,365pp,None,"Aug 06, 2024","Aug 23, 2024","Aug 06, 2024",Hardcover,"Mar 14, 2023"
‎22 Bahnen,"Wahl, Caroline",4,107278051,3832182780,"39,473",4.24,208pp,None,"Aug 03, 2024","Aug 13, 2024","Aug 03, 2024",Kindle Edition,"Apr 18, 2023"
Erste Person Singular,"Murakami, Haruki",4,107278051,3832181571,"47,775",3.54,220pp,None,"Jul 29, 2024","Aug 06, 2024","Jul 29, 2024",Hardcover,"Jan 26, 2021"
"Die Vermisste von Holnis
        (Die Inselkommissarin, #11)","Johannsen, Anna",4,107278051,2496712200,168,4.13,299pp,None,"Jul 28, 2024","Aug 06, 2024","Jul 28, 2024",Kindle Edition,"Jun 18, 2024"
Löwenherzen - Zwei unterwegs in Afrika,"Neitzel, Gesa",3,107278051,3864931428,349,4.26,297pp,None,"Jul 16, 2024","Aug 03, 2024","Jul 16, 2024",Paperback,Aug 2021
"House of Eternity: Nichts entkommt der Zeit
        (Zodiac-Chroniken, #1)","Woolf, Marah*",5,107278051,,"1,514",4.00,542pp,None,"Jul 11, 2024","Jul 28, 2024","Jul 11, 2024",Kindle Edition,"Jul 10, 2024"
Mit 50 Euro um die Welt,"Schacht, Christopher*",3,107278051,,"1,636",3.79,299pp,None,"Jul 06, 2024","Jul 16, 2024","Jul 06, 2024",Hardcover,"May 24, 2018"
Golden Bay − How it hurts,"Iosivoni, Bianca*",4,107278051,3641307813,"1,244",3.84,400pp,None,"Dec 22, 2024","Feb 09, 2025","Jun 24, 2024",Kindle Edition,"May 22, 2024"
Golden Bay − How it feels,"Iosivoni, Bianca*",4,107278051,3641307805,"2,098",3.90,384pp,None,"Jun 24, 2024","Dec 22, 2024","Jun 24, 2024",Kindle Edition,"Feb 28, 2024"
"Worlds Collide
        (Worlds #1)","Stehl, Anabelle*",3,107278051,3736316631,"1,912",4.03,567pp,None,"Jun 17, 2024","Jul 06, 2024","Jun 17, 2024",Paperback,"Mar 17, 2022"
"Hummeldumm. Das Roman, Ne.","Jaud, Tommy",5,107278051,3868004793,"3,089",3.57,0pp,None,"Jun 09, 2024","Jun 22, 2024","Jun 09, 2024",Hardcover,unknown
Funny Story,"Henry, Emily*",4,107278051,,"1,023,381",4.21,400pp,None,"Jun 03, 2024","Jun 17, 2024","Jun 03, 2024",Kindle Edition,"Apr 23, 2024"
"Frost und Mondlicht
        (Das Reich der sieben Höfe, #3.5)","Maas, Sarah J.*",5,107278051,,"1,872,445",3.73,318pp,None,"May 26, 2024","Jun 02, 2024","May 26, 2024",Kindle Edition,"Mar 22, 2019"
"The Finish Line
        (The Ravenhood, #3)","Stewart, Kate*",3,107278051,,"143,234",4.25,539pp,None,"May 17, 2024","Jun 09, 2024","May 17, 2024",Paperback,"Jan 27, 2021"
The Soulmate Equation,"Lauren, Christina*",4,107278051,1982171111,"279,313",3.99,360pp,None,"May 14, 2024","Jun 03, 2024","May 14, 2024",Paperback,"Feb 08, 2022"
Vom Ende der Einsamkeit,"Wells, Benedict*",4,107278051,3257069588,"54,780",4.38,355pp,None,"May 09, 2024","May 14, 2024","May 09, 2024",Hardcover,"Feb 24, 2016"
"Sterne und Schwerter
        (Das Reich der sieben Höfe, #3)","Maas, Sarah J.*",5,107278051,3423762063,"2,388,383",4.47,748pp,None,"May 05, 2024","May 26, 2024","May 05, 2024",Hardcover,"Mar 09, 2018"
"Unforgettable Mister Price
        (New York Galore, #2)","Rose, Leander",4,107278051,,147,3.95,305pp,None,"Apr 30, 2024","May 09, 2024","Apr 30, 2024",Kindle Edition,"Aug 10, 2023"
Three damn nights: Mein für drei Nächte,"Key, Emily",4,107278051,,93,3.83,501pp,None,"Apr 23, 2024","Apr 30, 2024","Apr 23, 2024",Kindle Edition,"Jul 03, 2019"
"Flammen und Finsternis
        (Das Reich der sieben Höfe, #2)","Maas, Sarah J.*",5,107278051,3423761822,"2,844,694",4.64,711pp,None,"Apr 16, 2024","May 05, 2024","Apr 16, 2024",Hardcover,"Aug 04, 2017"
"Exodus
        (The Ravenhood, #2)","Stewart, Kate*",4,107278051,,"192,339",4.39,450pp,None,"Apr 13, 2024","May 17, 2024","Apr 13, 2024",Paperback,"Aug 04, 2020"
Dschinns,"Aydemir, Fatma",5,107278051,3446269142,"12,673",4.56,368pp,None,"Apr 11, 2024","Oct 29, 2024","Apr 11, 2024",Hardcover,"Feb 14, 2022"
"Flock
        (The Ravenhood, #1)","Stewart, Kate*",5,107278051,,"242,880",4.11,354pp,None,"Apr 05, 2024","Apr 13, 2024","Apr 05, 2024",Paperback,"Jul 28, 2020"
That Girl,"Lima, Gabriella Santos de",5,107278051,3749906629,"2,134",3.80,289pp,None,"Mar 28, 2024","Mar 31, 2024","Mar 28, 2024",Kindle Edition,"Mar 19, 2024"
"Secretly Yours
        (A Vine Mess, #1)","Bailey, Tessa*",3,107278051,0063238985,"143,014",3.27,384pp,None,"Mar 23, 2024","Apr 23, 2024","Mar 23, 2024",Paperback,"Feb 07, 2023"
Reminders of Him,"Hoover, Colleen*",4,107278051,1542025605,"1,468,055",4.35,335pp,None,"Feb 19, 2024","Mar 22, 2024","Feb 19, 2024",Kindle Edition,"Jan 18, 2022"
Die Mitternachtsbibliothek,"Haig, Matt*",3,107278051,3426282569,"2,210,814",3.98,320pp,None,"Feb 19, 2024","Mar 23, 2024","Feb 19, 2024",Hardcover,"Feb 01, 2021"
Hof der Schlangen und Geheimnisse: Bräute des Nebels und der Fae (Königin der Schatten),"Raine, Eliza*",5,107278051,1913864820,"14,000",4.06,350pp,None,"Feb 10, 2024","Feb 11, 2024","Feb 10, 2024",Paperback,"Nov 28, 2023"
"Hof der Monster und des Bösen: Bräute des Nebels und der Fae (Königin der Schatten 3)
        (Königin der Schatten 3) (German Edition)","Raine, Eliza*",5,107278051,,"14,033",4.05,262pp,None,"Jan 26, 2024","Feb 10, 2024","Jan 26, 2024",Kindle Edition,"Jul 07, 2023"
Love Like Fire,"Shen, L.J.*",3,107278051,3736317735,"44,636",4.17,487pp,None,"Jan 21, 2024","Feb 19, 2024","Jan 21, 2024",Paperback,"Sep 30, 2022"
"Hof der Gier und des Goldes: Bräute des Nebels und der Fae (Königin der Schatten 2)
        (Königin der Schatten 2) (German Edition)","Raine, Eliza*",5,107278051,,"17,972",4.13,376pp,None,"Jan 19, 2024","Jan 26, 2024","Jan 19, 2024",Kindle Edition,"Apr 01, 2023"
The Do-Over,"Peterson, Sharon M.*",4,107278051,1803146370,"5,967",4.06,335pp,None,"Jan 13, 2024","Jan 21, 2024","Jan 13, 2024",Kindle Edition,"Aug 01, 2022"
"Hof der Raben und des Untergangs
        (Königin der Schatten, #1)","Raine, Eliza*",4,107278051,,"26,547",3.88,354pp,None,"Jan 07, 2024","Jan 19, 2024","Jan 07, 2024",Kindle Edition,"Jan 01, 2023"
"Als Großmutter im Regen tanzte
        (Großmutter und Großvater, #1)","Teige, Trude",4,107278051,394946512X,"3,591",4.16,384pp,None,Jan 2024,"Jan 07, 2024","Jan 01, 2024",Hardcover,"Feb 22, 2023"
